Track URI;n;Track;Artist;Release Year
spotify:track:7aOFPde65u12EJmh1dr7uL;1;La Gata Bajo la Lluvia;Rocío Dúrcal;1981
spotify:track:0XPt3eOkEIzhDCyFhfRaUh;2;Me Olvidé De Vivir;Julio Iglesias;1978
spotify:track:1uaJUd68rBoPYNvafL8ymh;3;Rufino;Luz Casal;1985
spotify:track:5zAnoLd8d4ssifVCnSDrwG;4;Corazón de neón;Orquesta Mondragon;1987
spotify:track:0CqSDMvzIOxdJRbCwwCIkM;5;Eres;Massiel;1981
spotify:track:4wMGxH3cJ8oDr6lG3bBrGL;6;Gloria;Umberto Tozzi;1979
spotify:track:6Gbc24EJdvZgpY0b5pNxhA;7;Tú;Umberto Tozzi;1978
spotify:track:11rsK9GDZ9UdWsxtDqnMmN;8;¿Por qué te vas?;Janette;1974
spotify:track:1nLOdVT581H7SA0ttCZRF9;9;Una calle de París;Duncan Dhu;1987
spotify:track:0AFJOoRQFlo10Vm1p6BRjg;10;El calor del amor en un bar;Gabinete Caligari;1986
spotify:track:6udZus2RwDVhD3zateRfFy;11;Embrujada;Tino Casal;1983
spotify:track:16k0xwujtU1eoSLEfofWQ8;12;Eloise;Tino Casal;1987
spotify:track:7LpS82vPDLgZAHWRtWBBRj;13;Ni tú ni nadie;Alaska y Dinarama;1984
spotify:track:4PRJD9T23GQKQYKhJQcGGY;14;Aquí no hay playa;The Refrescos;1989
spotify:track:2MPWdzsLs7owJCpNS1Eq8Y;15;Rock and Roll Star;Loquillo;1981
spotify:track:2kdcgSLw6FzxdL0gkhAT16;16;Hormigón, mujeres y alcohol;Ramoncin;1981
spotify:track:6mpJrtlX03lQd5UdsdjXOz;17;Yo no soy esa;Mari Trini;1971
spotify:track:1aZc9YBrZpKCE1YqSMV5Vg;18;La chica de ayer;Nacho Pop;1980
spotify:track:5i07tC6hV5AtYTr0tsP0Uy;19;Cien Gaviotas;Duncan Dhu;1986
spotify:track:38EKqFChMuL8oGCj1YnBRa;20;Solo Le Pido a Dios - En Directo;Antonio Flores;1994
spotify:track:5IU4JO2cpa0wPK8oQWFfCr;21;Un Beso Y Una Flor;Nino Bravo;1972
spotify:track:3MLnZadhoFpkGWibabX98d;22;Acordes;Pecos;1979
spotify:track:43wyXbukLasmkQGkquqMHs;23;Gavilán o Paloma;Pablo Abraira;1977
spotify:track:1ZxWjK1wqkHEwYBt9ayplF;24;Si Tu Fueras Mi Mujer;Lorenzo Santamaría;1975
spotify:track:7tVEeTbzEJkHP0EqUu6rmf;25;Mamma Maria;Ricchi E Poveri;1982
spotify:track:2S7RApTsKT0CtYojYq2cKz;26;L'italiano;Toto Cutugno;1983
spotify:track:5Wrs4ChK5nx9g4fTGNpDIf;27;Yo no Te Pido la Luna;Fiordaliso;1984
spotify:track:09PGyODYYlVsL49N7TR914;28;Pedro Navaja;Rubén Blades;1978
spotify:track:0lFMpSl7fU4FU1ZfVWY7He;29;Cuando Brille el Sol;La Guardia;1999
spotify:track:3yzHIAzk3zVE1WgspS8W21;30;Vivir Así Es Morir de Amor;Camilo Sesto;1978
spotify:track:7Eb5AYiiGWItBNddlmxvnh;31;A quién le importa;Alaska Y Dinarama;1986
spotify:track:6Tnnk7MAnZiDx67DJN2hnx;32;Mi gran noche;Raphael;1967
spotify:track:1eRgClFGphd2MgpyIBsbfS;33;¡Chas! Y aparezco a tu lado;Alex Y Christina;1988
spotify:track:5fc3XWSpJo6jTlbjnhGOJQ;34;Eva Maria;Formula V;1973
spotify:track:6dC0U0ZJrmSw05sdnjDpGJ;35;Enamorado de la moda juvenil;Radio Futura;1980
spotify:track:4YYd1oPidpG7rVu4OLjPG7;36;Viaje con nosotros;Orquesta Mondragon;1980
spotify:track:4oHDiaCilM1xWIr55LjxO0;37;Hoy No Me Puedo Levantar;Mecano;1982
spotify:track:2yNkRWz9x7x3halzGPnYqn;38;Don Diablo;Miguel Bosé;1980
spotify:track:09uE7kHv2ESkvtInKugpGM;39;Yo no te pido la luna (Non voglio mica la luna);Daniela Romo;1984
spotify:track:7zteNrLJJwjGa8e2IodVOp;40;Me Colé en una Fiesta;Mecano;1982
spotify:track:0OteyYh6inrfcil1XGwC3r;41;Bailando;Alaska Y Los Pegamoides;1982
spotify:track:5QfmCmdL4qnzqMz5Z0gvzV;42;Te Estoy Amando Locamente;Las Grecas;1974
spotify:track:3GHgLIY5drnms1MPKcMlmi;43;Cadillac solitario - Live;Loquillo Y Los Trogloditas;1989
spotify:track:29OKK8URiORBpRsimvzsmm;44;Adiós papá;Los Ronaldos;1988
spotify:track:36PL1fiYUnX7pJQRY1qwVw;45;Bailaré sobre tu tumba;Siniestro Total;1985
spotify:track:5d0M8iFSNn4fonHyRT8yeq;46;El Pistolero;Pistones;1983
spotify:track:0NFcUhw2uKzX0zqH81tWOu;47;El Limite;La Frontera;1989
spotify:track:7kCiAaismDVaCjpyGF3YJB;48;Maneras de Vivir (Single Estudio);Leño;1981
spotify:track:3RDMd9JiKdVik8zjGhZ0wJ;49;Veneno en la Piel;Radio Futura;1984
spotify:track:1KH2PcBCAaHRL6F5ZZgY1S;50;No Mires a los Ojos de la Gente;Golpes Bajos;1983
spotify:track:3f2k0XTc2ZXG17jEMDu8pp;51;Quiero tener tu presencia;Seguridad Social;1993
spotify:track:5juAYZUZPMEWJlzwoa9nOO;52;Un rayo de sol (Fernando) - 2015 Remastered Version;Los Diablos;1970
spotify:track:0UUJju7jtTViPCdauXKVZ1;53;¿Y cómo es él?;José Luis Perales;1984
spotify:track:3JclUL96MU6SWZCPb1wzih;54;Digan lo que digan;Raphael;1967
spotify:track:2H6pXO5yKat03sbr1ERzZv;55;Noelia;Nino Bravo;1975
spotify:track:2UC0OxMpQeSYft4pRswyEX;56;Sabor de amor;Danza Invisible;1988
spotify:track:0ATzislS5SvAp69hjHczej;57;Solo Se Vive una Vez;Azucar Moreno;1989
spotify:track:6G5GbFe5jWUWqZ3WmXiew5;58;"Follow the Leader ""Sigue al lider""";Sol Habana;1991
spotify:track:1eCie6lwjb4crxeAvkRaSi;59;Y Nos Dieron las Diez;Joaquín Sabina;1992
spotify:track:1hj6nYHeGclSY0VNTHMi27;60;Amante Bandido;Miguel Bosé;1984
spotify:track:0M2tanh26PWePnaGVV3h3y;61;Salta!!!;Tequila;1981
spotify:track:4Kii4OhkRIezu0KjOiFq0G;62;19 Dias y 500 Noches;Joaquín Sabina;1999
spotify:track:6QBLmxP1tU6lw1dhKQulau;63;Mediterraneo;Los Rebeldes;1990
spotify:track:1gh0aMZmO6o30LS12lEJWQ;64;Siete Vidas;Antonio Flores;1984
spotify:track:5sfy5t9U4Uhp6jPKvq2muQ;65;Penelope;Joan Manuel Serrat;1969
spotify:track:2oI6d7XcMz1AMTQhDopV5J;66;Resistiré;Duo Dinamico;1998
spotify:track:4aNYsOVFqueCQrDeluqp0H;67;El 28;La Oreja de Van Gogh;1998
spotify:track:4Y6cDd4EPHcEbiUKdyvNwM;68;Macarena;Los Del Rio;1993
spotify:track:7pjtYZml30McGVL6Lk5bMh;69;La Carretera;Julio Iglesias;1995
spotify:track:0DjSa6czo5ywsf6iCtZW5A;70;Cannabis;Ska-P;1995
spotify:track:6oytv9amMEx3pxSw9UmEtv;71;El Gato Lopez;Ska-P;1992
spotify:track:3uczGVEmktxNt15VoBALL6;72;Fiesta;Joan Manuel Serrat;1992
spotify:track:0fmASfcJJ6N8hTvGTa8Hhi;73;Carbón y Ramas Secas;Manolo Garcia;1996
spotify:track:3qzVJh6INW1CzSDVR9MRgS;74;Bamboléo;Gipsy Kings;1997
spotify:track:2hfv8QRES8BwT49kO0Hhmd;75;Bajo la Luz de la Luna;Los Rebeldes;1998
spotify:track:1suKCYjsR9rZKnFYM5uK1k;76;No Controles;Ole Ole;1983
spotify:track:0loxOLrtuQBxkqdoTKTIj2;77;La Quiero A Morir;Manzanita;1987
spotify:track:61ccRl3FBtLs3U5HuBtP6e;78;El Hombre del Piano;Ana Belén;1999
spotify:track:6Xueg8DmwhkU4xf0Q3xlWN;79;Sorprendente;Leño;1994
spotify:track:4FdwRmlzP5KGM7OewGBYiu;80;Olvídame y Pega la Vuelta;Pimpinela;1982
spotify:track:3ja1qnawwz4yqGETFEVLL0;81;Baron Rojo;Barón Rojo;1990
spotify:track:6D3YqQ9dUA9LBOLw4CEUj1;82;El Toro Guapo;El Fary;1982
spotify:track:2TC4v9YiuQYk3Tk8RH7fV4;83;Amor Eterno;Rocío Dúrcal;1981
spotify:track:02PROe7elhI6Cyu6KJONhX;84;Un Ramito de Violetas;Manzanita;1984
spotify:track:65DBZofI0b79kfHTcWWDuU;85;Trátame Suavemente - Remasterizado 2007;Soda Stereo;1984
spotify:track:1gNXYvLc14OmqK6gSJKLUM;86;Como una Ola;Rocío Jurado;1981
spotify:track:6XSYNsvSOtDzmH3lFUJnQl;87;Señora;Rocío Jurado;1984
spotify:track:5fCYRuYxc1ox7yWKcKD6tf;88;Rock And Roll en la Plaza del Pueblo;Tequila;1999
