Track URI;n;Track;Artist;Release Year
spotify:track:7aOFPde65u12EJmh1dr7uL;1;La Gata Bajo la Lluvia;Rocío Dúrcal;1981
spotify:track:0XPt3eOkEIzhDCyFhfRaUh;2;Me Olvidé De Vivir;Julio Iglesias;1978
spotify:track:1uaJUd68rBoPYNvafL8ymh;3;Rufino;Luz Casal;1985
spotify:track:5zAnoLd8d4ssifVCnSDrwG;4;Corazón de neón;Orquesta Mondragon;1987
spotify:track:0CqSDMvzIOxdJRbCwwCIkM;5;Eres;Massiel;1981
spotify:track:4wMGxH3cJ8oDr6lG3bBrGL;6;Gloria;Umberto Tozzi;1979
spotify:track:6Gbc24EJdvZgpY0b5pNxhA;7;Tú;Umberto Tozzi;1978
spotify:track:11rsK9GDZ9UdWsxtDqnMmN;8;¿Por qué te vas?;Janette;1974
spotify:track:1nLOdVT581H7SA0ttCZRF9;9;Una calle de París;Duncan Dhu;1987
spotify:track:0AFJOoRQFlo10Vm1p6BRjg;10;El calor del amor en un bar;Gabinete Caligari;1986
spotify:track:16k0xwujtU1eoSLEfofWQ8;11;Eloise;Tino Casal;1987
spotify:track:7LpS82vPDLgZAHWRtWBBRj;12;Ni tú ni nadie;Alaska y Dinarama;1984
spotify:track:4PRJD9T23GQKQYKhJQcGGY;13;Aquí no hay playa;The Refrescos;1989
spotify:track:2MPWdzsLs7owJCpNS1Eq8Y;14;Rock and Roll Star;Loquillo;1981
spotify:track:6mpJrtlX03lQd5UdsdjXOz;15;Yo no soy esa;Mari Trini;1971
spotify:track:1aZc9YBrZpKCE1YqSMV5Vg;16;La chica de ayer;Nacho Pop;1980
spotify:track:5i07tC6hV5AtYTr0tsP0Uy;17;Cien Gaviotas;Duncan Dhu;1986
spotify:track:43wyXbukLasmkQGkquqMHs;18;Gavilán o Paloma;Pablo Abraira;1977
spotify:track:2S7RApTsKT0CtYojYq2cKz;19;L'italiano;Toto Cutugno;1983
spotify:track:5Wrs4ChK5nx9g4fTGNpDIf;20;Yo no Te Pido la Luna;Fiordaliso;1984
spotify:track:3yzHIAzk3zVE1WgspS8W21;21;Vivir Así Es Morir de Amor;Camilo Sesto;1978
spotify:track:7Eb5AYiiGWItBNddlmxvnh;22;A quién le importa;Alaska Y Dinarama;1986
spotify:track:6Tnnk7MAnZiDx67DJN2hnx;23;Mi gran noche;Raphael;1967
spotify:track:1eRgClFGphd2MgpyIBsbfS;24;¡Chas! Y aparezco a tu lado;Alex Y Christina;1988
spotify:track:5fc3XWSpJo6jTlbjnhGOJQ;25;Eva Maria;Formula V;1973
spotify:track:6dC0U0ZJrmSw05sdnjDpGJ;26;Enamorado de la moda juvenil;Radio Futura;1980
spotify:track:4oHDiaCilM1xWIr55LjxO0;27;Hoy No Me Puedo Levantar;Mecano;1982
spotify:track:2yNkRWz9x7x3halzGPnYqn;28;Don Diablo;Miguel Bosé;1980
spotify:track:7zteNrLJJwjGa8e2IodVOp;29;Me Colé en una Fiesta;Mecano;1982
spotify:track:0OteyYh6inrfcil1XGwC3r;30;Bailando;Alaska Y Los Pegamoides;1982
spotify:track:5QfmCmdL4qnzqMz5Z0gvzV;31;Te Estoy Amando Locamente;Las Grecas;1974
spotify:track:3GHgLIY5drnms1MPKcMlmi;32;Cadillac solitario - Live;Loquillo Y Los Trogloditas;1989
spotify:track:29OKK8URiORBpRsimvzsmm;33;Adiós papá;Los Ronaldos;1988
spotify:track:36PL1fiYUnX7pJQRY1qwVw;34;Bailaré sobre tu tumba;Siniestro Total;1985
spotify:track:0NFcUhw2uKzX0zqH81tWOu;35;El Limite;La Frontera;1989
spotify:track:7kCiAaismDVaCjpyGF3YJB;36;Maneras de Vivir;Leño;1981
spotify:track:3RDMd9JiKdVik8zjGhZ0wJ;37;Veneno en la Piel;Radio Futura;1984
spotify:track:1KH2PcBCAaHRL6F5ZZgY1S;38;No Mires a los Ojos de la Gente;Golpes Bajos;1983
spotify:track:3f2k0XTc2ZXG17jEMDu8pp;39;Quiero tener tu presencia;Seguridad Social;1993
spotify:track:5juAYZUZPMEWJlzwoa9nOO;40;Un rayo de sol ;Los Diablos;1970
spotify:track:0UUJju7jtTViPCdauXKVZ1;41;¿Y cómo es él?;José Luis Perales;1984
spotify:track:3JclUL96MU6SWZCPb1wzih;42;Digan lo que digan;Raphael;1967
spotify:track:2H6pXO5yKat03sbr1ERzZv;43;Noelia;Nino Bravo;1975
spotify:track:2UC0OxMpQeSYft4pRswyEX;44;Sabor de amor;Danza Invisible;1988
spotify:track:0ATzislS5SvAp69hjHczej;45;Solo Se Vive una Vez;Azucar Moreno;1989
spotify:track:1eCie6lwjb4crxeAvkRaSi;46;Y Nos Dieron las Diez;Joaquín Sabina;1992
spotify:track:1hj6nYHeGclSY0VNTHMi27;47;Amante Bandido;Miguel Bosé;1984
spotify:track:0M2tanh26PWePnaGVV3h3y;48;Salta!!!;Tequila;1981
spotify:track:4Kii4OhkRIezu0KjOiFq0G;49;19 Dias y 500 Noches;Joaquín Sabina;1999
spotify:track:6QBLmxP1tU6lw1dhKQulau;50;Mediterraneo;Los Rebeldes;1990
spotify:track:2oI6d7XcMz1AMTQhDopV5J;51;Resistiré;Duo Dinamico;1998
spotify:track:4aNYsOVFqueCQrDeluqp0H;52;El 28;La Oreja de Van Gogh;1998
spotify:track:4Y6cDd4EPHcEbiUKdyvNwM;53;Macarena;Los Del Rio;1993
spotify:track:0DjSa6czo5ywsf6iCtZW5A;54;Cannabis;Ska-P;1995
spotify:track:6oytv9amMEx3pxSw9UmEtv;55;El Gato Lopez;Ska-P;1992
spotify:track:3uczGVEmktxNt15VoBALL6;56;Fiesta;Joan Manuel Serrat;1992
spotify:track:0fmASfcJJ6N8hTvGTa8Hhi;57;Carbón y Ramas Secas;Manolo Garcia;1996
spotify:track:3qzVJh6INW1CzSDVR9MRgS;58;Bamboléo;Gipsy Kings;1997
spotify:track:2hfv8QRES8BwT49kO0Hhmd;59;Bajo la Luz de la Luna;Los Rebeldes;1998
spotify:track:1suKCYjsR9rZKnFYM5uK1k;60;No Controles;Ole Ole;1983
spotify:track:61ccRl3FBtLs3U5HuBtP6e;61;El Hombre del Piano;Ana Belén;1999
spotify:track:6Xueg8DmwhkU4xf0Q3xlWN;62;Sorprendente;Leño;1994
spotify:track:4FdwRmlzP5KGM7OewGBYiu;63;Olvídame y Pega la Vuelta;Pimpinela;1982
spotify:track:6D3YqQ9dUA9LBOLw4CEUj1;64;El Toro Guapo;El Fary;1982
spotify:track:2TC4v9YiuQYk3Tk8RH7fV4;65;Amor Eterno;Rocío Dúrcal;1981
spotify:track:02PROe7elhI6Cyu6KJONhX;66;Un Ramito de Violetas;Manzanita;1984
spotify:track:65DBZofI0b79kfHTcWWDuU;67;Trátame Suavemente ;Soda Stereo;1984
spotify:track:1gNXYvLc14OmqK6gSJKLUM;68;Como una Ola;Rocío Jurado;1981
spotify:track:6XSYNsvSOtDzmH3lFUJnQl;69;Señora;Rocío Jurado;1984
spotify:track:5fCYRuYxc1ox7yWKcKD6tf;70;Rock And Roll en la Plaza del Pueblo;Tequila;1999
spotify:track:5sh52OSkS9OoEBJSI2CVxr;71;Que Difícil Es Hacer El Amor En Un Simca 1000;Los Inhumanos;1988
spotify:track:7J0niAY0FLzGiCVJUREl88;72;Escuela de Calor;Radio Futura;1984
spotify:track:419FFiitGchOUaIMEY7Dqi;73;Asi Fue;Isabel Pantoja;1984
spotify:track:7F5AYZAPcNE9rIpCCHFEeh;74;Agradecido;Rosendo;1988
spotify:track:3pBmaSZCoLF0drPRuf85O5;75;Como Yo Te Amo - Remasterizado;Rocío Jurado;1997
spotify:track:5wI6PpGIGw25jewhrbnxWG;76;Hoy Quiero Confesarme;Isabel Pantoja;1985
spotify:track:1VHM7HjNxtZkApy2EabI4e;77;El Mundo Tras el Cristal;La Guardia;1985
spotify:track:1EZypwk0xcj64ZLAglhLs2;78;La Cosa Mas Bella;Eros Ramazzotti;1996
spotify:track:58psRexxWVZNbcUK5BU1d4;79;Lija Y Terciopelo;Marea;1988
spotify:track:47WTpJKUjZ4hxNECGMAVhS;80;Ese Hombre;Rocío Jurado;1987
spotify:track:3xbymP6jIcdN0O2PB420bz;81;Escándalo;Raphael;1992
spotify:track:75QcWSFMIh8wkbGHdVQoju;82;Cuéntame al Oido;La Oreja de Van Gogh;1992
spotify:track:2RPNwpCcxVBhwhNUrJIiyG;83;A Mi Manera;Gipsy Kings;1998
spotify:track:6rVZRbWjALEyy1i6noyQ6j;84;Garlochi;Isabel Pantoja;1982
spotify:track:6uojMoKuVkIVEeqH4JCBAr;85;Alba;Antonio Flores;1992
spotify:track:4UjqoyfmarLo3Ub3LE19eC;86;El Vals del Obrero;Ska-P;1994
spotify:track:6BEhC3j62wIpe9m7zPL4Tx;87;Pantera en Libertad;Monica Naranjo;1996
spotify:track:15m2Op4d1ZtX0ScPaDNKcd;88;Vino Tinto;Estopa;2001
spotify:track:6VVBXRsXAuN5UvqKNw7j0l;89;Cacho a Cacho;Estopa;1999
spotify:track:2i7SlECYIAsT72FpLUU1Uj;90;Me Gustas Mucho;Rocío Dúrcal;1992
