Número;Título;Artista;Año;Enlace
1;La Gata Bajo la Lluvia;Rocío Dúrcal;1981;https://open.spotify.com/intl-es/track/7aOFPde65u12EJmh1dr7uL
2;Me Olvidé De Vivir;Julio Iglesias;1978;https://open.spotify.com/intl-es/track/0XPt3eOkEIzhDCyFhfRaUh
3;Rufino;Luz Casal;1985;https://open.spotify.com/intl-es/track/1uaJUd68rBoPYNvafL8ymh
4;Corazón de neón;Orquesta Mondragon;1987;https://open.spotify.com/intl-es/track/5zAnoLd8d4ssifVCnSDrwG
5;Eres;Massiel;1981;https://open.spotify.com/intl-es/track/0CqSDMvzIOxdJRbCwwCIkM
6;Gloria;Umberto Tozzi;1979;https://open.spotify.com/intl-es/track/4wMGxH3cJ8oDr6lG3bBrGL
7;Tú;Umberto Tozzi;1978;https://open.spotify.com/intl-es/track/6Gbc24EJdvZgpY0b5pNxhA
8;¿Por qué te vas?;Janette;1974;https://open.spotify.com/intl-es/track/11rsK9GDZ9UdWsxtDqnMmN
9;Una calle de París;Duncan Dhu;1987;https://open.spotify.com/intl-es/track/1nLOdVT581H7SA0ttCZRF9
10;El calor del amor en un bar;Gabinete Caligari;1986;https://open.spotify.com/intl-es/track/0AFJOoRQFlo10Vm1p6BRjg
11;Eloise;Tino Casal;1987;https://open.spotify.com/intl-es/track/16k0xwujtU1eoSLEfofWQ8
12;Ni tú ni nadie;Alaska y Dinarama;1984;https://open.spotify.com/intl-es/track/7LpS82vPDLgZAHWRtWBBRj
13;Aquí no hay playa;The Refrescos;1989;https://open.spotify.com/intl-es/track/4PRJD9T23GQKQYKhJQcGGY
14;Rock and Roll Star;Loquillo;1981;https://open.spotify.com/intl-es/track/2MPWdzsLs7owJCpNS1Eq8Y
15;Yo no soy esa;Mari Trini;1971;https://open.spotify.com/intl-es/track/6mpJrtlX03lQd5UdsdjXOz
16;La chica de ayer;Nacho Pop;1980;https://open.spotify.com/intl-es/track/1aZc9YBrZpKCE1YqSMV5Vg
17;Cien Gaviotas;Duncan Dhu;1986;https://open.spotify.com/intl-es/track/5i07tC6hV5AtYTr0tsP0Uy
18;Gavilán o Paloma;Pablo Abraira;1977;https://open.spotify.com/intl-es/track/43wyXbukLasmkQGkquqMHs
19;L'italiano;Toto Cutugno;1983;https://open.spotify.com/intl-es/track/2S7RApTsKT0CtYojYq2cKz
20;Yo no Te Pido la Luna;Fiordaliso;1984;https://open.spotify.com/intl-es/track/5Wrs4ChK5nx9g4fTGNpDIf
21;Vivir Así Es Morir de Amor;Camilo Sesto;1978;https://open.spotify.com/intl-es/track/3yzHIAzk3zVE1WgspS8W21
22;A quién le importa;Alaska Y Dinarama;1986;https://open.spotify.com/intl-es/track/7Eb5AYiiGWItBNddlmxvnh
23;Mi gran noche;Raphael;1967;https://open.spotify.com/intl-es/track/6Tnnk7MAnZiDx67DJN2hnx
24;¡Chas! Y aparezco a tu lado;Alex Y Christina;1988;https://open.spotify.com/intl-es/track/1eRgClFGphd2MgpyIBsbfS
25;Eva Maria;Formula V;1973;https://open.spotify.com/intl-es/track/5fc3XWSpJo6jTlbjnhGOJQ
26;Enamorado de la moda juvenil;Radio Futura;1980;https://open.spotify.com/intl-es/track/6dC0U0ZJrmSw05sdnjDpGJ
27;Hoy No Me Puedo Levantar;Mecano;1982;https://open.spotify.com/intl-es/track/4oHDiaCilM1xWIr55LjxO0
28;Don Diablo;Miguel Bosé;1980;https://open.spotify.com/intl-es/track/2yNkRWz9x7x3halzGPnYqn
29;Me Colé en una Fiesta;Mecano;1982;https://open.spotify.com/intl-es/track/7zteNrLJJwjGa8e2IodVOp
30;Bailando;Alaska Y Los Pegamoides;1982;https://open.spotify.com/intl-es/track/0OteyYh6inrfcil1XGwC3r
31;Te Estoy Amando Locamente;Las Grecas;1974;https://open.spotify.com/intl-es/track/5QfmCmdL4qnzqMz5Z0gvzV
