Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0XyMfNTiNv2w73L7USXzv3,"Vente Pa' Ca (feat. Wendy)","Vente Pa' Ca (feat. Wendy)","Ricky Martin;WENDY",2016-12-27,249048,26,false,franchescoropero,2020-08-30T13:26:42Z,"pop latino,latina","Sony Music Latin",0.658,0.838,11,-5.752,0,0.0945,0.00757,0.00000257,0.0894,0.585,99.999,4
spotify:track:7CnDrJ3mlKBEcAUVAlzUQE,"DUELE EL CORAZON (feat. Arcángel & Javada) - Remix","DUELE EL CORAZON (feat. Arcángel & Javada) [Remix]","Enrique Iglesias;Arcángel;Javada;Luny Tunes",2016-06-17,210546,34,false,franchescoropero,2020-08-30T13:26:48Z,"pop latino,latina,reggaetón,trap latino,urbano latino,riddim,dancehall,lovers rock,hip hop alemán","RCA Records/Sony Music International/Sony Music Latin",0.682,0.855,8,-4.026,0,0.0791,0.0911,0,0.208,0.79,90.999,4
spotify:track:5l390fUPNwGSi6ECobpc20,"Algo Contigo","Visualízate","Gente De Zona",2016-04-22,209280,50,false,franchescoropero,2020-08-30T13:27:01Z,"latina,latin dance","Sony Music Latin/Magnus",0.687,0.969,9,-3.179,1,0.0597,0.0444,0,0.0927,0.765,127.961,4
spotify:track:7Fl3wSxRqBljyQH8dJSz9c,"Traidora (feat. Marc Anthony)","Visualízate","Gente De Zona;Marc Anthony",2016-04-22,216320,57,false,franchescoropero,2020-08-30T13:27:08Z,"latina,latin dance,salsa,merengue,bachata,pop latino","Sony Music Latin/Magnus",0.717,0.929,10,-4.956,1,0.053,0.233,0,0.359,0.586,94.995,4
spotify:track:3pI6VigoXHkcL3VYLJfBhq,"Vente Pa' Ca (feat. Maluma) - Urban Remix","Vente Pa' Ca (Remixes) (feat. Maluma)","Ricky Martin;Maluma",2016-09-30,235112,42,false,franchescoropero,2020-08-30T13:27:13Z,"pop latino,latina,reggaetón,urbano latino","Sony Music Latin",0.741,0.891,11,-3.773,0,0.0446,0.108,0.000001,0.6,0.612,100.022,4
spotify:track:0Gw9QC3RqHmTdGqHIWLHb6,"La Isla del Amor (feat. Maki)","Uno","Demarco Flamenco;Maki",2017-03-03,219413,59,false,franchescoropero,2020-08-30T13:28:13Z,"flamenco,flamenco pop,flamenco urbano","WM Spain",0.593,0.785,0,-5.896,1,0.131,0.455,0,0.0682,0.765,94.869,4
spotify:track:3QHMxEOAGD51PDlbFPHLyJ,"Vivir Mi Vida","3.0","Marc Anthony",2013-07-23,252346,76,false,franchescoropero,2020-08-30T13:28:53Z,"salsa,merengue,bachata,latina,pop latino","Sony Music Latin",0.656,0.877,0,-3.231,0,0.0342,0.345,0,0.349,0.894,105.018,4
spotify:track:2vvdTrdryjsl8DmPIMDWZU,"EL BAÑO","EL BAÑO","Enrique Iglesias;Bad Bunny",2018-01-12,214520,63,false,franchescoropero,2020-08-30T13:29:16Z,"pop latino,latina,reggaetón,trap latino,urbano latino","RCA Records/Sony Music International/Sony Music Latin",0.71,0.888,6,-3.036,0,0.0382,0.259,0,0.0969,0.626,90.009,4
spotify:track:3UI9I3e1g1y5T3SMfdgfGO,"Colgando en tus manos (con Marta Sánchez)","De mi puño y letra - Edicion Coleccionista","Carlos Baute;Marta Sánchez",2009,230280,76,false,franchescoropero,2020-08-30T13:29:34Z,"pop latino","WM Spain",0.836,0.637,6,-4.803,1,0.0367,0.535,0,0.129,0.875,120.025,4
spotify:track:6habFhsOp2NvshLv26DqMb,"Despacito","VIDA","Luis Fonsi;Daddy Yankee",2019-02-01,229360,80,false,franchescoropero,2020-08-30T13:29:40Z,"latina,reggaetón","UMLE - Latino",0.655,0.797,2,-4.787,1,0.153,0.198,0,0.067,0.839,177.928,4
