Track;URI;Track;Name;Album;Name;Artist;Name(s);Release;Date;Duration;(ms);Popularity;Explicit;Added;By;Added;At;Genres;Record;Label;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Time;Signature
spotify:track:1eCie6lwjb4crxeAvkRaSi;Y Nos Dieron las Diez;Fisica Y Quimica;Joaquín Sabina;10/04/1992;302933;62;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;trova,cantautores,nueva trova;Ariola;0.555;0.275;0;-14.032;1;0.0653;0.759;0;0.104;0.592;163.431;3;;;;;;;;;;
spotify:track:4B6ko7lt1sUtyFzBDF4yfK;Pajaros de Barro;Arena En Los Bolsillos;Manolo Garcia;14/11/1998;246240;62;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;flamenco,flamenco pop;Ariola;0.719;0.597;5;-5.964;0;0.106;0.485;0;0.0762;0.651;144.99;4;;;;;;;;;;
spotify:track:3BNy8c9gYaL63nL5DKHFMU;Cuando Brille el Sol;Cuando Brille el Sol;La Guardia;06/07/1990;224000;54;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;;Sony Music Entertainment;0.505;0.731;7;-11.379;1;0.0374;0.0326;0.0000414;0.174;0.93;169.79;4;;;;;;;;;;
spotify:track:1hj6nYHeGclSY0VNTHMi27;Amante Bandido;Bandido;Miguel Bosé;22/02/1984;261360;67;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;pop latino;Columbia;0.748;0.691;2;-8.88;1;0.0354;0.0515;0.00256;0.0494;0.762;131.061;4;;;;;;;;;;
spotify:track:0M2tanh26PWePnaGVV3h3y;Salta!!!;Confidencial/New Booklet;Tequila;04/01/1981;189133;51;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;;Zafiro;0.474;0.935;2;-4.956;1;0.109;0.0218;0.0000161;0.044;0.915;151.705;4;;;;;;;;;;
spotify:track:4Kii4OhkRIezu0KjOiFq0G;19 Dias y 500 Noches;19 Dias Y 500 Noches;Joaquín Sabina;27/09/1999;283866;51;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;trova,cantautores,nueva trova;Legacy Recordings;0.708;0.67;4;-7.619;1;0.226;0.666;0;0.26;0.812;87.327;4;;;;;;;;;;
spotify:track:6QBLmxP1tU6lw1dhKQulau;Mediterraneo;Mediterránaeo;Los Rebeldes;1986;233026;49;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;rockabilly;Sony Music Media;0.463;0.683;9;-11.33;1;0.0542;0.124;0;0.181;0.945;146.629;1;;;;;;;;;;
spotify:track:1gh0aMZmO6o30LS12lEJWQ;Siete Vidas;Cosas Mias;Antonio Flores;25/05/1994;242000;52;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;flamenco,trova,cantautores;RCA Records Label;0.542;0.315;9;-11.494;0;0.0275;0.603;0;0.144;0.491;135.826;4;;;;;;;;;;
spotify:track:6NfxNXuOFEGVz0hr8qnlEj;Prefiero el Trapecio;Arena En Los Bolsillos;Manolo Garcia;14/11/1998;296800;51;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;flamenco,flamenco pop;Ariola;0.686;0.662;6;-5.529;0;0.0425;0.545;0;0.0829;0.789;141.956;4;;;;;;;;;;
spotify:track:5sfy5t9U4Uhp6jPKvq2muQ;Penelope;La Paloma;Joan Manuel Serrat;19/11/1997;241893;48;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;trova,nueva trova,cantautores;Ariola;0.282;0.584;9;-5.008;1;0.0325;0.756;0;0.202;0.42;135.87;4;;;;;;;;;;
