Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4z2EeFUp5Lhai9qhHtA6IF,"Salir","Canciones Prohibidas","Extremoduro",1998-06-08,318986,62,false,,2025-07-02T09:53:42Z,"","WM Spain",0.316,0.645,7,-6.206,1,0.0431,0.291,0.00312,0.109,0.467,160.399,4
spotify:track:7ifOnwJC0oH7cfbJQbUye1,"20 de abril","Cuentame Un Cuento","Celtas Cortos",1991-04-17,235333,64,false,,2025-07-02T09:53:42Z,"rock celta,celta","DRO/EastWest Spain",0.611,0.866,0,-5.135,1,0.0285,0.0274,0.0000289,0.278,0.826,114.016,4
spotify:track:1VB4sadHjFcFklHcZuoROi,"Como Camarón","Estopa","Estopa",1999-10-18,202026,67,false,,2025-07-02T09:53:42Z,"flamenco,flamenco pop","Ariola",0.499,0.721,9,-9.615,0,0.0564,0.216,0.00000974,0.295,0.843,140.4,4
spotify:track:7M65iLprqQ9UJNqer4g6AM,"Llamando a la tierra - Serenade From the Stars","Usar Y Tirar","M-Clan",1999,244533,60,false,,2025-07-02T09:53:42Z,"","DRO/EastWest Spain",0.521,0.882,9,-6.51,0,0.0797,0.0918,0.000065,0.204,0.401,116.902,4
spotify:track:0wQCKR9OFjYu5Kzrk7WivJ,"Corazón partío","Más","Alejandro Sanz",1997,343413,78,false,,2025-07-02T09:53:42Z,"pop latino","WM Spain",0.648,0.846,0,-6.731,1,0.0424,0.199,0.00000423,0.0803,0.815,160.075,4
spotify:track:1MrZ8hGkUWMmT816wPaMgE,"La flaca","La Flaca - Edición 10º Aniversario","Jarabe De Palo",2006-06-23,261200,59,false,,2025-07-02T09:53:42Z,"rock en español,rock latino,música alternativa latina","Parlophone Spain",0.871,0.481,7,-9.068,1,0.0383,0.52,0.0000554,0.0809,0.664,103.063,4
spotify:track:7nK3q1GgJDxlWfCwtiLV5a,"A fuego lento","Lunas rotas","Rosana",1996,220546,64,false,,2025-07-02T09:53:42Z,"trova,villancicos","WM Spain",0.673,0.869,10,-4.566,1,0.0975,0.513,0,0.157,0.728,119.106,4
spotify:track:1MO5KuLnSaY1dlkWGDjHkT,"¡Que Bonito!","Mucho Por Vivir","Rosario",1996-10-18,229386,61,false,,2025-07-02T09:53:42Z,"flamenco,flamenco pop","Epic",0.791,0.407,9,-10.757,1,0.0321,0.401,0.000105,0.103,0.518,103.989,4
spotify:track:1JpZMDDAkfhnrO6nXIQZ2g,"Noches de bohemia - Radio Edit","Desde Mi Azotea","Navajita Platea",1998-06-22,247906,60,false,,2025-07-02T09:53:42Z,"flamenco,flamenco pop","Parlophone Spain",0.392,0.458,7,-9.564,1,0.0397,0.453,0,0.321,0.244,85.269,4
spotify:track:1p7m9H4H8s0Y7SgRm7j3ED,"Flaca","Alta Suciedad","Andrés Calamaro",1997,277653,75,false,,2025-07-02T09:53:42Z,"rock argentino,rock en español,rock latino","DRO/EastWest Spain",0.739,0.745,7,-6.658,1,0.0267,0.21,0.0135,0.127,0.949,109.326,4
