Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4ull7kbYfozaIUNSQ9aI7s,"Soy un Truhán, Soy un Señor","Mi Vida: Grandes Exitos","Julio Iglesias",1978,183760,51,false,perdi_23,2023-07-02T19:16:35Z,"bolero","Columbia",0.572,0.61,0,-9.447,1,0.0306,0.25,0,0.272,0.67,99.198,4
spotify:track:419FFiitGchOUaIMEY7Dqi,"Asi Fue","Desde Andalucia","Isabel Pantoja",1988-05-03,325466,67,false,perdi_23,2023-07-02T19:16:35Z,"villancicos,flamenco","RCA Records Label",0.733,0.319,7,-11.585,1,0.0298,0.322,0.00000818,0.2,0.466,110.002,4
spotify:track:4Y6cDd4EPHcEbiUKdyvNwM,"Macarena","A Mi Me Gusta","Los Del Rio",1993-12-13,251293,54,false,perdi_23,2023-07-02T19:16:35Z,"","RCA Records Label",0.923,0.679,8,-14.019,1,0.0888,0.428,0.000131,0.0908,0.965,103.017,4
spotify:track:4x1SuI9nPq9tWeEbaRDUsM,"Como una Ola","15 Exitos Originales Con Rocio Jurado","Rocío Jurado",1984-03-11,261399,47,false,perdi_23,2023-07-02T19:16:35Z,"flamenco","RCA Records Label",0.593,0.199,4,-19.21,1,0.0327,0.847,0.0000999,0.0661,0.384,103.84,4
spotify:track:0csENJioyGcnIChZJymTDE,"Mi gran noche","Maravilloso Raphael","Raphael",2005-11-21,180866,45,false,perdi_23,2023-07-02T19:16:35Z,"villancicos","Parlophone Spain",0.645,0.653,9,-7.183,1,0.0629,0.579,0,0.0726,0.868,138.498,4
spotify:track:1uAjXdRxH2PBCKGSWPagGJ,"Libre","Super 20","Nino Bravo",1976-01-01,249333,53,false,perdi_23,2023-07-02T19:16:35Z,"","Universal Music Spain S.L.",0.361,0.527,2,-10.366,1,0.0288,0.719,0,0.403,0.499,90.368,4
spotify:track:73TYWXwde5BYhQHCVsfIV4,"Mi Carro","20 Exitos","Manolo Escobar",1988-03-15,166733,19,false,perdi_23,2023-07-02T19:16:35Z,"villancicos,flamenco","MSM Agency, Inc.",0.682,0.318,11,-19.785,0,0.0447,0.892,0,0.155,0.851,114.64,4
spotify:track:6YksxWWmhFOZjMfh3eRyYk,"Volando Voy","Flamenco es... Camaron","Camaron De La Isla",2010-01-01,204346,0,false,perdi_23,2023-07-02T19:16:35Z,"flamenco,flamenco pop","Universal Music Spain S.L.",0.578,0.691,9,-8.995,1,0.0359,0.714,0.00473,0.127,0.962,127.692,4
spotify:track:47KC4E0UetvyWNFZn0Hjp6,"Soy Minero","La Voz de Su Juventud, Vol. 1","Antonio Molina",2012-04-17,246706,31,false,perdi_23,2023-07-02T19:16:35Z,"flamenco","Star Music",0.335,0.331,0,-5.52,0,0.0297,0.981,0.00174,0.159,0.231,100.357,4
spotify:track:3yzHIAzk3zVE1WgspS8W21,"Vivir Así Es Morir de Amor","Sentimientos","Camilo Sesto",1978-01-02,210133,64,false,perdi_23,2023-07-02T19:16:35Z,"bolero","Ariola",0.527,0.689,8,-5.684,1,0.0681,0.614,0,0.381,0.691,102.24,4
