Track URI;n;Track;Artist;Release Year
spotify:track:4ull7kbYfozaIUNSQ9aI7s;1;Soy un Truhán, Soy un Señor;Julio Iglesias;1978
spotify:track:419FFiitGchOUaIMEY7Dqi;2;Asi Fue;Isabel Pantoja;03/05/1988
spotify:track:4Y6cDd4EPHcEbiUKdyvNwM;3;Macarena;Los Del Rio;13/12/1993
spotify:track:4x1SuI9nPq9tWeEbaRDUsM;4;Como una Ola;Rocío Jurado;11/03/1984
spotify:track:0csENJioyGcnIChZJymTDE;5;Mi gran noche;Raphael;21/11/2005
spotify:track:1uAjXdRxH2PBCKGSWPagGJ;6;Libre;Nino Bravo;01/01/1976
spotify:track:73TYWXwde5BYhQHCVsfIV4;7;Mi Carro;Manolo Escobar;15/03/1988
spotify:track:6YksxWWmhFOZjMfh3eRyYk;8;Volando Voy;Camaron De La Isla;01/01/2010
spotify:track:47KC4E0UetvyWNFZn0Hjp6;9;Soy Minero;Antonio Molina;17/04/2012
spotify:track:3yzHIAzk3zVE1WgspS8W21;10;Vivir Así Es Morir de Amor;Camilo Sesto;02/01/1978
spotify:track:2oI6d7XcMz1AMTQhDopV5J;11;Resistiré;Duo Dinamico;09/03/1988
spotify:track:3pBmaSZCoLF0drPRuf85O5;12;Como Yo Te Amo - Remasterizado;Rocío Jurado;1978
spotify:track:4B6ko7lt1sUtyFzBDF4yfK;13;Pajaros de Barro;Manolo Garcia;14/11/1998
spotify:track:7Bewui7KtaMzROeteRitRz;14;Mediterraneo;Joan Manuel Serrat;1971
spotify:track:7xT0YNKaOkvntYehrbRWen;15;Esta Cobardía;Chiquetete;1977
spotify:track:2avH6FAXgwbX04h3WHsn1q;16;El Porompompero;Manolo Escobar;15/03/1988
spotify:track:69b4y7N5M9HZlQNMSPVvF8;17;Cocinero, cocinero - Tanguillo;Antonio Molina;1996
spotify:track:6J3Cz3Ok2oI7sXebhGNKt3;18;Corazón Contento - Remasterizado;Marisol;1977
spotify:track:24UBqV1xJwNUns7nJVIbDu;19;Marinero de Luces;Isabel Pantoja;1985
spotify:track:7Eb5AYiiGWItBNddlmxvnh;20;A quién le importa;Alaska Y Dinarama;1986
