Track URI;n;Track;Artist;Release Year
spotify:track:15h9quQgltWsgYsdqSyPNb;1;Mi Estrella Blanca;Fondo Flamenco;08/12/2008
spotify:track:2MfzKUwj8ZTswNxY0A8GEA;2;Las cosas pequeñitas;Nolasco;02/11/2006
spotify:track:2PaETSKl3w3IdtLIbDnQXJ;3;El aire de la calle;Los Delinqüentes;2001
spotify:track:1NxFzOsXF3DXLH1xyon6vH;4;Quiereme;El Barrio;01/01/2003
spotify:track:3G0C3Z9H9CLejvrkWbGBb7;5;Pa' Madrid;El Barrio;15/10/2007
spotify:track:5Tqzffefo3Ua5G9ScLAnBe;6;Todos los Besos;Los Rebujitos;20/05/2016
spotify:track:1JpZMDDAkfhnrO6nXIQZ2g;7;Noches de bohemia - Radio Edit;Navajita Platea;22/06/1998
spotify:track:0HLcI3RpxigxlKDOa92hZg;8;Orgullo;El Barrio;15/10/2007
spotify:track:5VwYcCKNAgDqDJ9ah9tDGl;9;Con la luna llena;Melendi;03/07/2006
spotify:track:3v1dCP3hk2djfWryqfp7sx;10;Caminando por la vida;Melendi;2005
spotify:track:4UtREbGYnd1nZLckEb5y8J;11;Carolina - En directo 2000;M-Clan;2001
spotify:track:6eq7Ona0USHJVwIIzjxzta;12;Kisiera yo saber;Melendi;13/11/2006
spotify:track:0GzQB5WXavUEU8tfTCAd8m;13;Cuando zarpa el amor;Camela;22/11/2004
spotify:track:4ppxWzgjvst4Mv1Kpwooeh;14;Búscate un hombre que te quiera;El Arrebato;30/08/2004
spotify:track:15BdyloOmohWRWcnO4QILo;15;Sé lo que hicisteis - 2006 Remastered Version;Melendi;03/07/2006
spotify:track:5OaqffbeQyVVqtnA71Ci7K;16;Por la Raja de Tu Falda;Estopa;18/10/1999
spotify:track:24UStI5AYA7g5ufFDh3LH0;17;Por la boca vive el pez;Fito y Fitipaldis;11/09/2006
spotify:track:4lN533ecUjcnqTkdxaYoP2;18;Tocado y hundido;Melendi;25/11/2014
spotify:track:0rDwA3VxwFO0eHLpmLclSN;19;Dale Comba;Canelita;12/05/2021
spotify:track:7CJtrxRGcxxgUxqI7C7RO2;20;Poquito a poco;El Arrebato;2001
spotify:track:5XqlTeL5oyxqSJsD6D7XVP;21;Cuando Te Beso;Niña Pastori;23/05/2011
