Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:53AdGgVPCP8P4CutTFKJ1V,"Un Buen Dia","Unidad De Desplazamiento","Los Planetas",2000-09-14,231080,48,false,ordago13,2016-08-02T17:42:27Z,"","RCA Records Label",0.386,0.922,2,-6.067,1,0.0478,0.0000145,0.737,0.169,0.579,128.47,4
spotify:track:6yBHR0esuWE4zr0A02qeKY,"Alta Fidelidad","Cronolanea (Edited Version)","Lori Meyers",2008-01-01,189453,0,false,ordago13,2016-08-02T17:43:06Z,"indie","Universal Music Group",0.474,0.955,0,-5.414,1,0.0872,0.0488,0.0000583,0.113,0.585,168.262,4
spotify:track:1KhqSLS8YafrUCbjrn8WxZ,"Club de fans de John Boy","1999 (o como generar incendios de nieve con una lupa enfocando la luna)","Love of Lesbian",2009-03-31,231160,58,false,ordago13,2016-08-02T17:43:41Z,"indie","WM Spain",0.644,0.819,11,-8.05,0,0.0324,0.136,0.00283,0.233,0.782,132.037,4
spotify:track:7k5KNDMCeLP3NxpKfpjqqp,"Copenhague","Un Día en el Mundo","Vetusta Morla",2008-01-23,303693,0,false,ordago13,2016-08-02T17:44:08Z,"indie","Pequeño Salto Mortal",0.56,0.742,9,-3.944,1,0.0241,0.413,0.0123,0.132,0.471,92.967,4
spotify:track:541hgOF71B92Jpg4IU6kyx,"Turnedo","Canciones para el tiempo y la distancia","Ivan Ferreiro",2005-04-12,278333,57,false,ordago13,2016-08-02T17:46:02Z,"indie","WM Spain",0.621,0.615,9,-6.596,1,0.032,0.649,0,0.0891,0.179,102.954,4
spotify:track:3iaj0MtII6VPVhwQa4eeX3,"Qué Bien","Magia & Efectos Especiales","IZAL",2012-04-12,273893,57,false,ordago13,2016-08-02T17:47:04Z,"indie","Altafonte under exclusive license from Hook Ediciones Musicales",0.632,0.51,10,-8.018,1,0.0345,0.564,0.00000151,0.279,0.443,134.024,4
spotify:track:67oh7LlJZOzQiZ7mM2GtRm,"La vida moderna (feat. Love of Lesbian)","La vida moderna (feat. Love of Lesbian)","Veintiuno;Love of Lesbian",2022-09-30,193746,50,false,ordago13,2022-10-26T07:00:46Z,"indie","WM Spain",0.575,0.893,9,-4.136,1,0.0761,0.134,0,0.136,0.804,173.881,4
spotify:track:7EwISik6EOmK1CZhs68nsg,"Años 80","Ultrasónica","Los Piratas",2001,220840,53,false,ordago13,2016-08-02T17:45:48Z,"","WM Spain",0.467,0.9,2,-4.318,1,0.0378,0.000642,0,0.351,0.495,125.981,4
spotify:track:0eTNLIPzgURsXMdgX4cdpJ,"LN Granada","Electroviral","Supersubmarina",2010-02-23,191746,53,false,ordago13,2016-08-02T17:54:29Z,"indie","RCA Records Label",0.554,0.919,9,-3.615,1,0.0515,0.00511,0.000497,0.519,0.386,140.009,1
spotify:track:40DVGRnw5vhUbJg5CmLOSj,"Viaje A Los Sueños Polares","Un Soplo En El Corazón","Family",1993-12-01,173826,37,false,ordago13,2016-08-02T17:48:01Z,"","Elefant Records distributed by Altafonte",0.617,0.695,1,-11.193,1,0.0407,0.00547,0.73,0.0437,0.975,168.03,4
spotify:track:2lzDLMgEFV67p2ba7s6Zdp,"Rincón exquisito","Fracciones de un segundo","Second",2009-01-20,307146,0,false,ordago13,2016-08-02T17:48:18Z,"indie","WM Spain",0.557,0.869,4,-5.717,1,0.0329,0.00265,0.000318,0.118,0.332,128.001,4
spotify:track:2HFNXJ2WzNpz3lVhldgf7j,"A Cualquier Otra Parte","El Futuro No Es De Nadie","Dorian",2006,238333,0,false,ordago13,2016-08-02T17:48:49Z,"indie","[PIAS] Spain",0.62,0.788,7,-5.843,1,0.04,0.0842,0.0774,0.108,0.803,158.932,4
spotify:track:2iF29XsxVmNiyqPKbUuzFd,"Desde Marte","San Felices","La Maravillosa Orquesta del Alcohol",2025-10-16,203328,53,false,ordago13,2025-10-17T08:24:59Z,"","Universal Music Spain S.L.",0.491,0.627,11,-4.75,1,0.0284,0.0493,0,0.114,0.597,146.894,4
spotify:track:6BDEvAXh5IYJUfaD2nOtEF,"Sale El Sol","Un Golpe De Suerte","La Paloma",2025-10-02,221216,39,false,ordago13,2025-10-03T13:08:07Z,"","Universal Music Spain S.L.",0.487,0.91,8,-2.659,1,0.0403,0.00227,0.00105,0.0642,0.676,107.874,4
spotify:track:5zHvsFZoCzLmhbRbYDkg42,"La Revolución Sexual","La Revolución Sexual","La Casa Azul",2007-11-03,274160,57,false,ordago13,2016-08-02T17:49:16Z,"","Elefant Records distributed by Altafonte",0.686,0.877,0,-5.201,1,0.0373,0.00254,0.000977,0.0791,0.396,117.01,4
spotify:track:6yGP9c0OkKZgdqBjec9HMu,"La Típica Canción","La Típica Canción","Ginebras",2019-09-19,177580,44,false,ordago13,2020-01-25T19:31:19Z,"","VANANA RECORDS distributed by Altafonte",0.594,0.804,9,-4.916,1,0.0321,0.0228,0.0000942,0.116,0.925,132.976,4
spotify:track:5InvKzcEqa5hp380jpzlLT,"Indestructibles","Fue Eléctrico","La Habitación Roja",2012-02-20,234080,0,false,ordago13,2016-08-02T17:46:29Z,"indie","Mushroom Pillow",0.315,0.539,11,-5.848,1,0.0347,0.00623,0.0000685,0.459,0.482,178.138,4
spotify:track:55WP5MMhB1jeq1RNr8y6sc,"Caída Libre","Santa","Zahara",2015-04-21,176373,39,false,ordago13,2016-08-02T17:51:05Z,"","G.O.Z.Z. Records distributed by Altafonte",0.574,0.773,2,-6.979,1,0.032,0.00472,0.00261,0.241,0.86,152.043,4
spotify:track:4BVicFd3FwAsfvIGfF8Sy9,"Los Perros","Los Perros","Arde Bogotá",2023-01-26,229876,47,false,ordago13,2023-02-02T17:31:57Z,"indie","Sony Music Entertainment",0.659,0.792,11,-4.404,0,0.0362,0.00587,0.000836,0.0975,0.547,96.997,4
spotify:track:3Ga4GTFu4iS9sWUt54qrCc,"Al Amanecer","Es Que No Hay Manera","Los Fresones Rebeldes",1997-04-05,159226,0,false,ordago13,2016-08-03T09:50:53Z,"","Subterfuge Records",0.373,0.862,9,-7.138,1,0.21,0.0333,0,0.165,0.409,198.402,4
spotify:track:7KznlkE5Vo2WNPSaBVjV8w,"Verbena","Ultraligero","Novedades Carminha",2019-02-15,196499,39,false,ordago13,2019-10-31T09:53:27Z,"","Ernie Records distributed by Altafonte",0.933,0.505,7,-6.994,1,0.103,0.0055,0.0124,0.0471,0.686,120.005,4
spotify:track:3Z3aEb63WSnkznQMOzixVZ,"Mi Fábrica de Baile","Baile de Magos","Joe Crepúsculo",2013-01-01,265433,0,false,ordago13,2019-10-31T09:56:55Z,"indie latino","Mushroom Pillow",0.621,0.949,9,-4.605,0,0.0345,0.000283,0.44,0.0622,0.429,124.045,4
spotify:track:5SeYlZyKVENMOxiSPQkKyw,"El Fin del Mundo","El Fin del Mundo","La La Love You;Axolotes Mexicanos",2019-11-29,188093,72,false,ordago13,2020-03-06T10:02:28Z,"","Subterfuge Records distributed by Altafonte",0.6,0.866,4,-4.599,1,0.0477,0.000839,0,0.094,0.676,127.056,4
spotify:track:7xf6KIyZMe7woSda2dnHAL,"Fascinado","Fascinado","Sidonie",2005-03-17,230213,37,false,ordago13,2016-08-08T10:06:07Z,"indie","Columbia",0.513,0.881,1,-3.164,0,0.0374,0.0614,0.000011,0.387,0.508,134.035,4
spotify:track:2y7b6A4hhl3ysYlU2kztGD,"El Bien","El Bien","Viva Suecia",2022-10-03,206226,57,false,ordago13,2022-10-07T09:52:16Z,"indie","Universal Music Spain S.L.",0.264,0.875,9,-3.222,1,0.0551,0.00208,0.00771,0.176,0.403,64.319,4
spotify:track:0SRMrCKFp0X8vrcVfa2rP6,"Ser Brigada","León Benavente","León Benavente",2013-05-28,302813,0,false,ordago13,2016-08-08T10:38:33Z,"","Marxophone",0.493,0.961,2,-4.51,1,0.0671,0.00146,0.132,0.165,0.498,100,4
spotify:track:5TTI8OazEkZj9tFqvyletF,"Madrid Sin Ti","De la Línea Diez al Sol","Niña Polaca",2020-09-25,150506,43,false,ordago13,2021-09-28T13:17:08Z,"","Subterfuge Records distributed by Altafonte",0.206,0.838,4,-4.181,1,0.0632,0.176,0,0.362,0.444,145.562,4
