Track URI;n;Track;Artist;Release Year
spotify:track:53AdGgVPCP8P4CutTFKJ1V;1;Un Buen Dia;Los Planetas;14/09/2000
spotify:track:6yBHR0esuWE4zr0A02qeKY;2;Alta Fidelidad;Lori Meyers;01/01/2008
spotify:track:1KhqSLS8YafrUCbjrn8WxZ;3;Club de fans de John Boy;Love of Lesbian;31/03/2009
spotify:track:7k5KNDMCeLP3NxpKfpjqqp;4;Copenhague;Vetusta Morla;23/01/2008
spotify:track:541hgOF71B92Jpg4IU6kyx;5;Turnedo;Ivan Ferreiro;12/04/2005
spotify:track:3iaj0MtII6VPVhwQa4eeX3;6;Qué Bien;IZAL;12/04/2012
spotify:track:67oh7LlJZOzQiZ7mM2GtRm;7;La vida moderna;Veintiuno;
spotify:track:7EwISik6EOmK1CZhs68nsg;8;Años 80;Los Piratas;2001
spotify:track:0eTNLIPzgURsXMdgX4cdpJ;9;LN Granada;Supersubmarina;23/02/2010
spotify:track:40DVGRnw5vhUbJg5CmLOSj;10;Viaje A Los Sueños Polares;Family;01/12/1993
spotify:track:2lzDLMgEFV67p2ba7s6Zdp;11;Rincón exquisito;Second;20/01/2009
spotify:track:2HFNXJ2WzNpz3lVhldgf7j;12;A Cualquier Otra Parte;Dorian;2006
spotify:track:2iF29XsxVmNiyqPKbUuzFd;13;Desde Marte;La Maravillosa Orquesta del Alcohol;16/10/2025
spotify:track:6BDEvAXh5IYJUfaD2nOtEF;14;Sale El Sol;La Paloma;02/10/2025
spotify:track:5zHvsFZoCzLmhbRbYDkg42;15;La Revolución Sexual;La Casa Azul;03/11/2007
spotify:track:6yGP9c0OkKZgdqBjec9HMu;16;La Típica Canción;Ginebras;19/09/2019
spotify:track:5InvKzcEqa5hp380jpzlLT;17;Indestructibles;La Habitación Roja;20/02/2012
spotify:track:55WP5MMhB1jeq1RNr8y6sc;18;Caída Libre;Zahara;21/04/2015
spotify:track:4BVicFd3FwAsfvIGfF8Sy9;19;Los Perros;Arde Bogotá;26/01/2023
spotify:track:3Ga4GTFu4iS9sWUt54qrCc;20;Al Amanecer;Los Fresones Rebeldes;05/04/1997
spotify:track:7KznlkE5Vo2WNPSaBVjV8w;21;Verbena;Novedades Carminha;15/02/2019
spotify:track:3Z3aEb63WSnkznQMOzixVZ;22;Mi Fábrica de Baile;Joe Crepúsculo;01/01/2013
spotify:track:5SeYlZyKVENMOxiSPQkKyw;23;El Fin del Mundo;La La Love You;
spotify:track:7xf6KIyZMe7woSda2dnHAL;24;Fascinado;Sidonie;17/03/2005
spotify:track:2y7b6A4hhl3ysYlU2kztGD;25;El Bien;Viva Suecia;03/10/2022
spotify:track:0SRMrCKFp0X8vrcVfa2rP6;26;Ser Brigada;León Benavente;28/05/2013
spotify:track:5TTI8OazEkZj9tFqvyletF;27;Madrid Sin Ti;Niña Polaca;25/09/2020
spotify:track:6q9RCwnXBS98HEzp33DqbY;28;RÁPIDO, RÁPIDO, RÁPIDO!;Nadie Patín;19/09/2024
spotify:track:0XMgvQEGek6E00jPFj90jR;29;Un Actor Mejicano;La Buena Vida;2003
spotify:track:0q26YkYooQjbNyNXzGcHGP;30;Mira cómo vuelo;Miss Caffeina;26/02/2016
spotify:track:4pbZzR04XohpFAHZIuKv2s;31;El Principio De Todo;Rufus T. Firefly;25/04/2025
spotify:track:2ajGi9aZsopbft7nWKDsDA;32;Chup Chup;Australian Blonde;02/03/1993
spotify:track:6f2sakq0z0uraeoXisNsMZ;33;El Hombre Que Casi Conoció A Michi Panero;Nacho Vegas;02/10/2007
spotify:track:1fxZQ0PPz6IOQEYfXojAfK;34;Cayetano;Carolina Durante;07/03/2018
spotify:track:15cWkqMjnW2Y9lm24UaeZ7;35;Errante ;Niños Mutantes;2010
spotify:track:1ogJK57FglEe7kmbAQDi0v;36;Que Electricidad;Carlos Sadness;16/02/2015
spotify:track:3GHNpJqIKpOzfnA3Bt5gtI;37;Toro;El Columpio Asesino;22/02/2011
spotify:track:3UGB74KsmwarhQDifsyOb4;38;Que No;Deluxe;21/05/2004
spotify:track:7c66uAeDt28hNyMNjaw4kf;39;Tus Amigos;Los Punsetes;22/02/2010
spotify:track:52Pxn490S6sTjhXgyfeSbk;40;La sonrisa intacta;Shinova;26/02/2021
spotify:track:3sGbZxQ17M34eAe9NXdZ33;41;Nena;Sexy Zebras;25/03/2022
spotify:track:6ou443eT6aXOCxcX9Jrnee;42;La Vida Cañón;Alcalá Norte;17/04/2024
spotify:track:5Wcz0MyZQa7tgPu62WMqzl;43;Héroes del Sábado;La Maravillosa Orquesta del Alcohol;29/09/2017
spotify:track:3dFvennzyT0N1KP9Phs1do;44;Nebulosa Jade;Rufus T. Firefly;20/01/2017
spotify:track:2xLu4Wk6ZWukC30gkMf6F8;45;Cerca del Invierno;MERINO;
spotify:track:4qrJzgfKWfUFilhwMEKI6d;46;Los Valientes;McEnroe;03/03/2009
spotify:track:2T0YE6fIVWrBjdGkq8n6Yv;47;De La Monarquía a La Criptocracia;Triángulo de Amor Bizarro;03/05/2010
spotify:track:13lLSDKLaugfGQwmqqiezF;48;Te Debo Un Baile;Nueva Vulcano;23/11/2009
spotify:track:4BUGtGJeeSpTouEMSV1Vnr;49;Devil Came to Me;Dover;01/01/1997
spotify:track:22AFDA433ER7FEC7RAxzYu;50;On My Mind;The Sunday Drivers;31/05/2004
spotify:track:0rCWIsEuZlwgpIOWLfZEAA;51;El equilibrio es imposible;Los Piratas;2001
spotify:track:3JXWlB51MFGraw8d4ZkXBl;52;Incondicional;Vega;25/10/2024
spotify:track:35JlMFeoRwkrX0MexSh76W;53;Lolaila Carmona;Napoleon Solo;16/03/2010
spotify:track:1IvgrZbbRzmt4MlkKOLlLu;54;Do It;The Sunday Drivers;16/04/2007
spotify:track:0yN8i2A1skYDKPzaw1CtSh;55;Shiny Soul;Fuel Fandango;07/06/2011
spotify:track:0CEKmCJyGaJ9MCwpp1RNMW;56;Someone Like You;Sexy Sadie;20/10/2000
spotify:track:642KjrCtnxAq0NjEwcC58P;57;Enero en la playa;Facto Delafe y las flores azules;10/07/2005
spotify:track:4G83GlI8euYjstfsgTEVcq;58;Ciudad Vampira;Nacho Vegas;08/04/2014
spotify:track:5WQ752XEjlPQW3nW3FVcbM;59;Cigarettes;Russian Red;01/01/2011
