Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7MFVLZMlSjQilhkNK34aPg,"Estando Contigo","Marisol, Sus 20 Grandes Éxitos","Marisol",2008-01-01,169800,30,false,,2025-07-02T07:36:10Z,"villancicos","OK Records",0.715,0.439,2,-9.175,1,0.0624,0.897,0.00000348,0.0633,0.745,100.073,4
spotify:track:6b3ub116kE1T15h1yzaiTy,"Yo soy aquél","Grandes éxitos","Raphael",1987-08-25,159560,32,false,,2025-07-02T07:36:10Z,"villancicos","WM Spain",0.402,0.427,2,-11.328,0,0.0359,0.795,0,0.222,0.551,111.065,3
spotify:track:2a0xS8Vy4k6rXm8qcR3Ljw,"Mejor","Mejor","Los Brincos",1966-04-02,168760,29,false,,2025-07-02T07:36:10Z,"","Serdisco",0.621,0.57,2,-8.774,1,0.03,0.141,0,0.115,0.536,118.291,4
spotify:track:3xlqFyHKPTsne8Q9oBqUoS,"Como ayer","Del guateque al Sonorama. 20 Canciones Imprescindibles","Duo Dinamico",2016-07-11,151986,26,false,,2025-07-02T07:36:10Z,"","WM Spain",0.535,0.644,4,-5.85,1,0.0361,0.66,0,0.155,0.518,126.138,3
spotify:track:7w9XCYCA5U74FHeP7kMcNQ,"Acalorado","Grandes Éxitos","Los Diablos",1990,189000,36,false,,2025-07-02T07:36:10Z,"","Parlophone Spain",0.669,0.759,0,-11.57,1,0.0531,0.463,0.000466,0.0978,0.646,86.2,4
spotify:track:5hv3nMY3NKyDL7cSsrSYog,"Chica Ye Ye","Cuentame","Concha Velasco",2001-10-29,143106,44,false,,2025-07-02T07:36:10Z,"","RCA Records Label",0.555,0.906,9,-4.758,1,0.184,0.117,0,0.225,0.63,171.761,4
spotify:track:6buqYaAyimysMjE8yuiaXy,"Cuéntame","Ayer Y Hoy","Formula V",1985-01-01,170000,39,false,,2025-07-02T07:36:10Z,"","Universal Music Spain S.L.",0.675,0.522,1,-13.205,0,0.0461,0.242,0.00000539,0.287,0.476,132.032,4
spotify:track:39seQKr8NvpAU4gIg6mrew,"Corazón Contento","Esencial Marisol","Marisol",2013-06-18,179733,28,false,,2025-07-02T07:36:10Z,"villancicos","Legacy Recordings",0.584,0.811,2,-4.338,0,0.0301,0.165,0.0000147,0.0565,0.954,131.232,4
spotify:track:2QxMa6aWPahTquFtjPewdF,"Mis manos en tu cintura","EGB: Las tardes de guateque","Salvatore Adamo",2017-11-03,179440,29,false,,2025-07-02T07:36:10Z,"chanson","WM Spain",0.509,0.727,4,-4.344,1,0.0458,0.443,0,0.153,0.517,116.544,4
spotify:track:2HCN2W2Y6GAfct0NWEtsk0,"El Mundo","Cuentame","Jimmy Fontana",2001-10-29,155933,35,false,,2025-07-02T07:36:10Z,"","RCA Records Label",0.166,0.544,2,-5.277,1,0.0352,0.722,0,0.575,0.437,84.365,4
spotify:track:1WeW6OZssOSRI77C1WWyKY,"La Pared","Canciones De Amor Prohibido","Bambino",1998-03-28,162200,35,false,,2025-07-02T07:36:10Z,"flamenco,flamenco pop,villancicos","RCA Records Label",0.614,0.882,1,-4.359,1,0.0833,0.737,0.00000182,0.248,0.915,107.1,4
spotify:track:0csENJioyGcnIChZJymTDE,"Mi gran noche","Maravilloso Raphael","Raphael",2005-11-21,180866,45,false,,2025-07-02T07:36:10Z,"villancicos","Parlophone Spain",0.645,0.653,9,-7.183,1,0.0629,0.579,0,0.0726,0.868,138.498,4
spotify:track:59EqreyaIvSC8slPSn5Gl9,"Vacaciones De Verano","Ayer Y Hoy","Formula V",1985-01-01,157000,38,false,,2025-07-02T07:36:10Z,"","Universal Music Spain S.L.",0.665,0.59,9,-14.691,1,0.033,0.729,0.0000485,0.0976,0.822,138.211,4
spotify:track:3sbFL6MOViiY2cmVeRLTWY,"Ara Que Tinc Vint Anys","Ara Que Tinc Vint Anys","Joan Manuel Serrat",2000-07-20,151933,27,false,,2025-07-02T07:36:10Z,"trova,nueva trova,cantautores","Ariola",0.62,0.381,10,-8.551,0,0.0527,0.901,0.00000108,0.116,0.671,120.698,3
spotify:track:3hWwAz95hKY6isP8eUKmS9,"El Porompompero","20 Éxitos","Manolo Escobar",1989-01-01,155000,38,false,,2025-07-02T07:36:10Z,"villancicos,flamenco","Divucsa Music",0.679,0.493,0,-13.197,0,0.0478,0.853,0.00000388,0.109,0.937,122.834,4
spotify:track:6y1b0YZufCb63Mnv3fnlBY,"María Isabel","Lo Mejor De Los Payos","Los Payos",1973,199466,43,false,,2025-07-02T07:36:10Z,"","WM Spain",0.667,0.75,6,-7.076,1,0.0394,0.539,0.00000124,0.193,0.962,152.825,4
spotify:track:5OUUjcCjgt6RU8oM10raCz,"Las flechas del amor","Colección Diamante: Karina","Karina",2007-11-02,156943,31,false,,2025-07-02T07:36:10Z,"","Parlophone Spain",0.562,0.655,6,-6.954,1,0.0478,0.101,0,0.169,0.964,107.511,4
spotify:track:7JBJ96bvR2jcROcxLx9Lcc,"La Vida Sigue Igual","Yo Canto","Julio Iglesias",1969,218000,35,false,,2025-07-02T07:36:10Z,"bolero","RCA Records Label",0.383,0.401,5,-11.106,1,0.0276,0.264,0,0.248,0.586,100.082,4
spotify:track:62hSknYccwR0ZakYd6NMJg,"Quisiera ser","Quisiera Ser","Duo Dinamico",1961,174720,25,false,,2025-07-02T07:36:10Z,"","Parlophone Spain",0.366,0.43,8,-10.033,1,0.0295,0.784,0,0.0462,0.446,95.244,4
spotify:track:6OAQAWNyPCg46XxdBzP3qT,"El Puente","Lo Mejor de los Mismos, Vol. 2","Los Mismos",1989-01-01,179893,36,false,,2025-07-02T07:36:10Z,"","Divucsa Music",0.677,0.643,10,-8.806,0,0.0384,0.269,0,0.28,0.927,97.083,4
spotify:track:2xFrnL8BYleBuxCQQCuho7,"Mi calle","Grandes Grupos De Los 60","Lone Star",1990,162506,32,false,,2025-07-02T07:36:10Z,"","Parlophone Spain",0.334,0.684,8,-5.318,1,0.0302,0.334,0.00000439,0.52,0.871,96.555,3
spotify:track:0GS0PoeH5OU8kZTgyWI3UJ,"La Moto","Lo Mejor de los Bravos","Los Bravos",2015-01-02,130199,30,false,,2025-07-02T07:36:10Z,"","Sony Music Entertainment",0.494,0.817,0,-5.6,1,0.0639,0.169,0,0.152,0.858,94.875,4
spotify:track:5fc3XWSpJo6jTlbjnhGOJQ,"Eva Maria","Ayer Y Hoy","Formula V",1985-01-01,175506,40,false,,2025-07-02T07:36:10Z,"","Universal Music Spain S.L.",0.724,0.578,10,-12.011,1,0.0367,0.363,0,0.0958,0.963,122.044,4
spotify:track:35lfDNjMbqNU54SVwsesn6,"Tómbola","Canta con Marisol","Marisol",1961-12-17,152040,36,false,,2025-07-02T07:36:10Z,"villancicos","Universal Digital Enterprises",0.442,0.641,3,-7.762,1,0.322,0.907,0.000198,0.0644,0.827,89.24,4
spotify:track:6fiV7GIQ2q7wkZZp6dEbkO,"Amor de verano","Colección Diamante","Duo Dinamico",2007,171240,26,false,,2025-07-02T07:36:10Z,"","Parlophone Spain",0.513,0.402,2,-5.775,1,0.0271,0.631,0.000453,0.114,0.409,129.551,4
spotify:track:681PSdoWFqrkLTul7Gxxrv,"La zarzamora","La Zarzamora... ¡Ay, Lola!","Lola Flores",2006-03-27,168906,26,false,,2025-07-02T07:36:10Z,"flamenco","Parlophone Spain",0.543,0.351,11,-8.17,0,0.0909,0.978,0,0.308,0.791,89.948,3
spotify:track:1k4kMMTPN5Yc0KdMxtMTuj,"Los Chicos Con las Chicas","Los Chicos Con las Chicas","Los Bravos",1967,132933,34,false,,2025-07-02T07:36:10Z,"","RCA Records Label",0.562,0.868,4,-3.124,1,0.0585,0.756,0,0.219,0.727,129.718,4
spotify:track:0Ouv1zi0SXDnFtREEsps4K,"Flamenco","Flamenco","Los Brincos",1964-01-09,123760,26,false,,2025-07-02T07:36:10Z,"","Serdisco",0.25,0.72,2,-6.671,0,0.0414,0.339,0,0.188,0.644,154.554,4
spotify:track:5ce0WzJYWHE9DfA7r2MBzr,"El río","Mira hacia ti","Miguel Ríos",1969-09-16,159013,44,false,,2025-07-02T07:36:10Z,"rock en español,trova,nueva trova","WM Spain",0.428,0.79,2,-3.642,0,0.0307,0.18,0,0.399,0.696,95.36,4
spotify:track:2b86JimepLVr509zIdO64Q,"Que Se Mueran los Feos","Lo Mejor de los Sirex","Los Sirex",1964,144813,31,false,,2025-07-02T07:36:10Z,"","Sony Music Entertainment",0.638,0.686,7,-6.67,1,0.055,0.812,0.0000245,0.32,0.965,165.361,4
spotify:track:3z3DtBS12kXOwaWDlYhh6i,"Tu Nombre Me Sabe a Yerba","La Paloma","Joan Manuel Serrat",1997-11-19,151773,50,false,,2025-07-02T07:36:10Z,"trova,nueva trova,cantautores","Ariola",0.342,0.536,7,-6.115,1,0.0322,0.169,0,0.048,0.799,91.64,4
