Track URI;n;Artist;Release Year
spotify:track:7MFVLZMlSjQilhkNK34aPg;Estando Contigo;Marisol;01/01/2008
spotify:track:6b3ub116kE1T15h1yzaiTy;Yo soy aquél;Raphael;25/08/1987
spotify:track:2a0xS8Vy4k6rXm8qcR3Ljw;Mejor;Los Brincos;02/04/1966
spotify:track:3xlqFyHKPTsne8Q9oBqUoS;Como ayer;Duo Dinamico;11/07/2016
spotify:track:7w9XCYCA5U74FHeP7kMcNQ;Acalorado;Los Diablos;1990
spotify:track:5hv3nMY3NKyDL7cSsrSYog;Chica Ye Ye;Concha Velasco;29/10/2001
spotify:track:6buqYaAyimysMjE8yuiaXy;Cuéntame;Formula V;01/01/1985
spotify:track:39seQKr8NvpAU4gIg6mrew;Corazón Contento;Marisol;18/06/2013
spotify:track:2QxMa6aWPahTquFtjPewdF;Mis manos en tu cintura;Salvatore Adamo;03/11/2017
spotify:track:2HCN2W2Y6GAfct0NWEtsk0;El Mundo;Jimmy Fontana;29/10/2001
spotify:track:1WeW6OZssOSRI77C1WWyKY;La Pared;Bambino;28/03/1998
spotify:track:0csENJioyGcnIChZJymTDE;Mi gran noche;Raphael;21/11/2005
spotify:track:59EqreyaIvSC8slPSn5Gl9;Vacaciones De Verano;Formula V;01/01/1985
spotify:track:3sbFL6MOViiY2cmVeRLTWY;Ara Que Tinc Vint Anys;Joan Manuel Serrat;20/07/2000
spotify:track:3hWwAz95hKY6isP8eUKmS9;El Porompompero;Manolo Escobar;01/01/1989
spotify:track:6y1b0YZufCb63Mnv3fnlBY;María Isabel;Los Payos;1973
spotify:track:5OUUjcCjgt6RU8oM10raCz;Las flechas del amor;Karina;02/11/2007
spotify:track:7JBJ96bvR2jcROcxLx9Lcc;La Vida Sigue Igual;Julio Iglesias;1969
spotify:track:62hSknYccwR0ZakYd6NMJg;Quisiera ser;Duo Dinamico;1961
spotify:track:6OAQAWNyPCg46XxdBzP3qT;El Puente;Los Mismos;01/01/1989
spotify:track:2xFrnL8BYleBuxCQQCuho7;Mi calle;Lone Star;1990
spotify:track:0GS0PoeH5OU8kZTgyWI3UJ;La Moto;Los Bravos;02/01/2015
spotify:track:5fc3XWSpJo6jTlbjnhGOJQ;Eva Maria;Formula V;01/01/1985
