Track;URI;Track;Name;Album;Name;Artist;Name(s);Release;Date;Duration;(ms);Popularity;Explicit;Added;By;Added;At;Genres;Record;Label;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Time;Signature
spotify:track:7aOFPde65u12EJmh1dr7uL;La Gata Bajo la Lluvia;Mis Mejores Canciones;Rocío Dúrcal;14/10/1992;217506;56;FALSE;majosegarcia;2016-08-28T14:36:22Z;ranchera,mariachi,bolero;Ariola;0.302;0.461;7;-12.678;1;0.0547;0.717;0.00000223;0.57;0.521;175.799;4;;;;;;;;;;
spotify:track:33aRBtGFUITyz7fYwSRe7O;Juntos;Las canciones de mi vida;Paloma San Basilio;18/11/2014;261813;25;FALSE;majosegarcia;2016-08-28T14:37:18Z;;Parlophone Spain;0.584;0.953;10;-4.838;1;0.0926;0.324;0.0000361;0.276;0.806;137.707;4;;;;;;;;;;
spotify:track:1aZc9YBrZpKCE1YqSMV5Vg;Chica de ayer;Grandes Éxitos: Nacha Pop;Nacha Pop;21/03/2005;208026;48;FALSE;majosegarcia;2016-08-28T14:38:21Z;rock en español;Parlophone Spain;0.674;0.854;7;-4.337;1;0.034;0.0579;0.00041;0.0735;0.684;127.295;4;;;;;;;;;;
spotify:track:5i07tC6hV5AtYTr0tsP0Uy;Cien gaviotas;20 años de canciones;Duncan Dhu;28/11/2005;169773;45;FALSE;majosegarcia;2016-08-28T14:38:36Z;rock en español,rock latino;DRO/EastWest Spain;0.593;0.943;9;-4.503;1;0.0424;0.133;0.0000438;0.0478;0.846;136.027;4;;;;;;;;;;
spotify:track:38EKqFChMuL8oGCj1YnBRa;Solo Le Pido a Dios - En Directo;Mucho Mas Que Dos (Live In Concert);Antonio Flores;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:7Bewui7KtaMzROeteRitRz;Mediterraneo;Mediterráneo;Joan Manuel Serrat;1971;205226;58;FALSE;majosegarcia;2016-08-28T14:41:38Z;trova,nueva trova,cantautores;Ariola;0.545;0.59;9;-7.257;0;0.0813;0.599;0;0.0916;0.583;100.835;3;;;;;;;;;;
spotify:track:5X7HaYdvc9Slc3D75kkkbl;No me hables - 2012 Remastered Version;Juan Mucho Mas Juan [Remastered] (Remastered Version);Juan Pardo;16/11/2012;210013;49;FALSE;majosegarcia;2016-08-28T14:43:08Z;;Parlophone Spain;0.633;0.892;7;-3.591;1;0.032;0.232;0.0000069;0.104;0.94;113.833;4;;;;;;;;;;
spotify:track:17DrqnUASfxDK5OsHed5Jp;Vivimos siempre juntos;Vivimos Siempre Juntos;Nacho Cano;14/04/2006;255200;0;FALSE;majosegarcia;2016-08-28T14:44:23Z;;Parlophone Spain;0.729;0.709;9;-9.166;1;0.0258;0.335;0.000288;0.0918;0.701;117.693;4;;;;;;;;;;
spotify:track:5IU4JO2cpa0wPK8oQWFfCr;Un Beso Y Una Flor;Super 20;Nino Bravo;01/01/1976;272800;64;FALSE;majosegarcia;2016-08-28T14:45:15Z;;Universal Music Spain S.L.;0.258;0.522;9;-9.859;1;0.0316;0.688;0;0.0703;0.419;167.582;4;;;;;;;;;;
spotify:track:3MLnZadhoFpkGWibabX98d;Acordes;30 Grandes Exitos y un Par de Corazones;Pecos;1979;227426;33;FALSE;majosegarcia;2016-08-28T14:47:50Z;;Epic;0.416;0.544;1;-8.388;0;0.075;0.381;0;0.162;0.219;114.095;4;;;;;;;;;;
spotify:track:0XPt3eOkEIzhDCyFhfRaUh;Me Olvide De Vivir;Personalidad;Julio Iglesias;03/09/2002;290160;41;FALSE;majosegarcia;2016-08-28T14:50:00Z;bolero;Sony Special Products;0.403;0.518;0;-5.827;1;0.0369;0.815;0.000707;0.144;0.583;124.118;4;;;;;;;;;;
spotify:track:7MFVLZMlSjQilhkNK34aPg;Estando Contigo;Marisol, Sus 20 Grandes Éxitos;Marisol;01/01/2008;169800;30;FALSE;majosegarcia;2016-08-28T14:52:16Z;villancicos;OK Records;0.715;0.439;2;-9.175;1;0.0624;0.897;0.00000348;0.0633;0.745;100.073;4;;;;;;;;;;
spotify:track:25wv1fWZsBJM2IaPas5oHK;Corazón Contento;Cuentame;Marisol;29/10/2001;178053;25;FALSE;majosegarcia;2016-08-28T14:52:38Z;villancicos;RCA Records Label;0.588;0.81;2;-4.575;0;0.0301;0.149;0.0000277;0.0752;0.959;131.307;4;;;;;;;;;;
spotify:track:5zAnoLd8d4ssifVCnSDrwG;Corazón de neón;Viaje Con Nosotros A Través De 21 Exitos Feroces;Orquesta Mondragon;28/02/2003;289626;42;FALSE;majosegarcia;2016-08-28T14:53:09Z;rock en español;Parlophone Spain;0.586;0.951;2;-3.923;1;0.0306;0.357;0.0223;0.198;0.968;136.384;4;;;;;;;;;;
spotify:track:1uaJUd68rBoPYNvafL8ymh;Rufino;Rufino;Luz Casal;01/06/2007;266480;38;FALSE;majosegarcia;2016-08-28T14:54:38Z;;Parlophone Spain;0.491;0.874;10;-6.618;1;0.0385;0.0209;0.00707;0.286;0.625;167.525;4;;;;;;;;;;
spotify:track:43wyXbukLasmkQGkquqMHs;Gavilán o Paloma;30 de Febrero;Pablo Abraira;1977;288573;46;FALSE;majosegarcia;2016-08-28T14:57:05Z;;Pablo Abraira;0.466;0.572;1;-6.182;1;0.0272;0.539;0;0.0798;0.404;126.308;4;;;;;;;;;;
spotify:track:1ZxWjK1wqkHEwYBt9ayplF;Si Tu Fueras Mi Mujer;Los Grandes Exitos de Lorenzo Santamaria;Lorenzo Santamaría;19/05/1998;192798;9;FALSE;majosegarcia;2016-08-28T14:57:33Z;;Divucsa;0.618;0.557;0;-10.475;1;0.0295;0.00892;0;0.137;0.778;118.864;4;;;;;;;;;;
spotify:track:6mpJrtlX03lQd5UdsdjXOz;Yo no soy esa;Solo Lo Mejor;Mari Trini;22/03/2002;152906;24;FALSE;majosegarcia;2016-08-28T14:58:40Z;bolero;Parlophone Spain;0.578;0.633;2;-4.967;0;0.0324;0.0693;0;0.369;0.729;120.909;4;;;;;;;;;;
spotify:track:0CqSDMvzIOxdJRbCwwCIkM;Eres;Lo Mejor de Massiel;Massiel;23/04/2013;197226;33;FALSE;majosegarcia;2016-08-28T14:59:00Z;;Parlophone Spain;0.688;0.671;9;-9.152;1;0.0521;0.582;0;0.0799;0.897;105.067;5;;;;;;;;;;
spotify:track:27nfrOYTDXfhzDd8Qcy2aj;Vamos a la playa;The Best Righeira;Righeira;24/03/2002;218253;41;FALSE;majosegarcia;2016-08-28T15:09:46Z;disco italiana,italo dance;DV More;0.839;0.789;9;-9.162;0;0.0369;0.0725;0.201;0.0599;0.966;128.585;4;;;;;;;;;;
spotify:track:0TvVLMp0xt1CbXndXHilcg;No tengo dinero;The Best Righeira;Righeira;24/03/2002;244066;39;FALSE;majosegarcia;2016-08-28T15:09:52Z;disco italiana,italo dance;DV More;0.8;0.806;0;-9.597;0;0.0283;0.115;0.0428;0.0626;0.956;128.417;4;;;;;;;;;;
spotify:track:4wMGxH3cJ8oDr6lG3bBrGL;Gloria;Ti amo & I Grandi Successi;Umberto Tozzi;09/10/2009;262733;0;FALSE;majosegarcia;2016-08-28T15:24:00Z;italo dance,cantautores italianos;Fonit Cetra WMI;0.748;0.923;4;-3.165;1;0.057;0.0801;0;0.423;0.757;131.76;4;;;;;;;;;;
spotify:track:7tVEeTbzEJkHP0EqUu6rmf;Mamma Maria;The Collection;Ricchi E Poveri;1998;175666;57;FALSE;majosegarcia;2016-08-28T15:24:28Z;italo dance,disco italiana;Baby Records;0.738;0.841;7;-5.767;1;0.0327;0.522;0;0.107;0.789;134.598;4;;;;;;;;;;
spotify:track:04Xdk7F9HgyHBcAwO7KE3F;Sera Porque Te Amo;Exclusive Ricchi E Poveri - 15 Exitos;Ricchi E Poveri;28/01/2010;190564;63;FALSE;majosegarcia;2016-08-28T15:24:38Z;italo dance,disco italiana;Baby Records International;0.874;0.668;4;-7.421;1;0.038;0.157;0;0.0493;0.979;118.889;4;;;;;;;;;;
spotify:track:2S7RApTsKT0CtYojYq2cKz;L'italiano;L'Italiano;Toto Cutugno;01/02/1983;236546;70;FALSE;majosegarcia;2016-08-28T15:25:50Z;italo dance;Carosello Records;0.617;0.519;10;-11.411;0;0.0404;0.292;0;0.411;0.692;121.35;4;;;;;;;;;;
spotify:track:5Wrs4ChK5nx9g4fTGNpDIf;Yo no Te Pido la Luna;Como Te Amare;Fiordaliso;1997;283173;0;FALSE;majosegarcia;2016-08-28T15:26:32Z;italo dance,cantautores italianos;Nar International;0.689;0.808;7;-4.862;1;0.0271;0.142;0;0.268;0.514;127.103;4;;;;;;;;;;
spotify:track:6H22ty6uyBfgyZHYgigunQ;Tú - Spanish Version;Las 101 mejores canciones Italianas;Umberto Tozzi;08/10/2013;246800;0;FALSE;majosegarcia;2016-08-28T15:28:59Z;italo dance,cantautores italianos;WM Spain;0.66;0.713;4;-7.301;1;0.025;0.387;0.0000291;0.0874;0.828;101.931;4;;;;;;;;;;
spotify:track:0U44GbCt9x8s7KW5VEVSV6;Enseñame a Cantar;40 Años de No. 1 en Español : Los 50's, 60's, 70's y 80's;Micky;18/04/2006;207986;5;FALSE;majosegarcia;2016-08-28T15:31:22Z;salsa,afrobeat latino,timba,bachata;Divucsa;0.668;0.778;2;-8.868;1;0.121;0.515;0.00000888;0.0438;0.935;188.239;4;;;;;;;;;;
spotify:track:4e5F7dcEcaDwAFjECFvErJ;Llorando Por Granada;Lo Mejor De Los Puntos;Los Puntos;01/01/1976;196000;41;FALSE;majosegarcia;2016-08-28T15:34:06Z;;Universal Music Spain S.L.;0.456;0.585;0;-12.972;1;0.0404;0.138;0;0.263;0.724;102.018;4;;;;;;;;;;
spotify:track:6TxEkOU9Sqa1uI736FiCbC;The Speak Up Mambo (CUENTAME);The Manhattan Transfer Anthology - Down In Birdland;The Manhattan Transfer;1992;180960;0;FALSE;majosegarcia;2016-08-28T15:37:26Z;vocal jazz;Concord Music Group;0.784;0.713;5;-5.713;0;0.0341;0.709;0.00000177;0.11;0.918;128.736;4;;;;;;;;;;
spotify:track:1PseJZ9Iay7mpeonyxPBn3;Agapimu;Los Grandes Exitos... Y Mas;Ana Belén;21/10/2008;211546;21;FALSE;majosegarcia;2016-08-28T15:41:17Z;trova,nueva trova,cantautores,bolero;Columbia;0.544;0.916;8;-5.358;1;0.216;0.336;0.000036;0.0837;0.892;172.057;3;;;;;;;;;;
spotify:track:1meKjAWKhMNDYSvXyX1vqw;Centro Di Gravità Permanente - 2004 - Remaster;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:09PGyODYYlVsL49N7TR914;Pedro Navaja;Anthology;Rubén Blades;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:3HuUNpNC8x8FftKavzpd23;Una de Dos;Auterretratos;Luis Eduardo Aute;2004;240800;26;FALSE;majosegarcia;2016-08-28T15:53:36Z;trova,nueva trova,cantautores,folk latino;Ariola;0.457;0.623;9;-8.623;1;0.156;0.381;0;0.306;0.773;204.347;4;;;;;;;;;;
spotify:track:11rsK9GDZ9UdWsxtDqnMmN;¿Porqué te vas?;Porque Te Vas;Jeanette;11/03/2011;201160;75;FALSE;majosegarcia;2016-08-28T15:55:14Z;;Parlophone Spain;0.612;0.458;0;-11.086;0;0.069;0.427;0.00000841;0.103;0.961;172.516;4;;;;;;;;;;
spotify:track:0vDeTWoAooavG2zcCKHmI4;More Than A Woman (2007 Remastered Saturday Night Fever LP Version);Saturday Night Fever [The Original Movie Soundtrack];Bee Gees;05/01/1978;197573;0;FALSE;majosegarcia;2017-10-12T22:48:18Z;disco;Bee Gees/Reprise;0.6;0.708;7;-6.249;1;0.038;0.16;0.000139;0.446;0.693;106.167;4;;;;;;;;;;
spotify:track:6SatWYCXTZ2n7HDjWE1Voh;Mi Historia Entre Tus Dedos;Las Numero 1 Del Amor Pop;Gianluca Grignani;01/01/2008;307986;0;FALSE;majosegarcia;2017-10-12T22:51:53Z;rock en español,cantautores italianos;Universal Latino;0.627;0.485;0;-7.195;1;0.0411;0.411;0;0.0749;0.458;157.889;4;;;;;;;;;;
spotify:track:0DzwkXawqzpt0k7jxjfdEf;Black betty;Absolute Rock Anthems;Ram Jam;07/07/2008;236160;0;FALSE;majosegarcia;2017-10-12T23:00:30Z;rock sureño;WM Sweden;0.466;0.889;11;-5.301;0;0.115;0.0158;0.00131;0.253;0.773;117.581;4;;;;;;;;;;
spotify:track:2Z3GeObNlM3DNv2ushEic3;En el cielo no hay alcohol;La primera en la frente;Pabellon Psiquiatrico;1987;177293;24;FALSE;majosegarcia;2018-09-08T19:06:49Z;;WM Spain;0.752;0.688;2;-7.117;1;0.0337;0.658;0;0.304;0.903;100.744;4;;;;;;;;;;
spotify:track:0e2VEHzGihG7lc6T4eCjDZ;G de gilipollas;La primera en la frente;Pabellon Psiquiatrico;1987;173306;21;FALSE;majosegarcia;2018-09-08T19:07:14Z;;WM Spain;0.606;0.823;9;-6.061;1;0.123;0.402;0.00000191;0.158;0.618;81.287;4;;;;;;;;;;
spotify:track:20oIUOyQioTLIs7s8fvSZP;Ojos de hielo;Vivo, 17 grandes exitos en directo;Modestia Aparte;30/09/2002;205626;31;FALSE;majosegarcia;2018-09-08T19:10:04Z;;WM Spain;0.471;0.394;8;-11.146;1;0.0377;0.828;0.00000187;0.421;0.32;136.706;4;;;;;;;;;;
spotify:track:0lFMpSl7fU4FU1ZfVWY7He;Cuando Brille el Sol;2 En 1 - Vamonos - Cuando Brille El Sol;La Guardia;04/01/1999;224066;41;FALSE;majosegarcia;2018-09-08T19:10:14Z;;Zafiro;0.515;0.716;7;-11.363;1;0.0361;0.0302;0.000028;0.189;0.927;169.846;4;;;;;;;;;;
spotify:track:6Eftf3XLMULjwKItj0sNwe;Mil Calles Llevan Hacia Tí;Mil Calles Llevan Hacia Tí (1983-2005);La Guardia;01/01/2005;251733;39;FALSE;majosegarcia;2018-09-08T19:10:26Z;;Kainós Producciones;0.412;0.943;9;-3.312;1;0.0763;0.408;0;0.929;0.734;169.462;4;;;;;;;;;;
spotify:track:4A2RJRAz3lFGbvHEcZEQ7m;Una calle de París;20 años de canciones;Duncan Dhu;28/11/2005;140253;32;FALSE;majosegarcia;2018-09-08T19:10:37Z;rock en español,rock latino;DRO/EastWest Spain;0.683;0.752;4;-6.837;1;0.0337;0.074;0.0000256;0.222;0.865;140.012;4;;;;;;;;;;
spotify:track:4k12blydLbcePLvuVSrSgE;El calor del amor en un bar;The Platinum Collection: Gabinete Caligari;Gabinete Caligari;19/03/2007;170680;35;FALSE;majosegarcia;2018-09-08T19:11:10Z;;Parlophone Spain;0.582;0.879;4;-4.077;0;0.031;0.45;0;0.126;0.973;129.254;4;;;;;;;;;;
spotify:track:4bavcis6bApsKI8YkKg3Cx;20 de abril - En directo 1997;Nos Vemos En Los Bares;Celtas Cortos;1997;237346;50;FALSE;majosegarcia;2018-09-08T19:11:16Z;rock celta,celta;DRO/EastWest Spain;0.526;0.722;0;-12.057;1;0.0394;0.000925;0.0000124;0.821;0.468;112.961;4;;;;;;;;;;
spotify:track:3yzHIAzk3zVE1WgspS8W21;Vivir Así Es Morir de Amor;Sentimientos;Camilo Sesto;02/01/1978;210133;64;FALSE;majosegarcia;2018-09-08T19:15:38Z;bolero;Ariola;0.527;0.689;8;-5.684;1;0.0681;0.614;0;0.381;0.691;102.24;4;;;;;;;;;;
