Track URI;Track;Artist;Release year
spotify:track:3K8BeABgLXZ3JHhdM3rZBx;No Puedo Vivir Sin Ti;El Canto Del Loco;2009
spotify:track:1sMgCr1RH0HfAazVZt9xmZ;El Secreto de las Tortugas;Maldita Nerea;2009
spotify:track:42VgiRyg0YjtRVLiPFNxPJ;Zapatillas;El Canto Del Loco;2005
spotify:track:1VB4sadHjFcFklHcZuoROi;Como Camarón;Estopa;1999
spotify:track:3hlWUNjAlbZ6nOjAbrivBv;Princesas;Pereza;2005
spotify:track:4waqcUQWdj0yH26STWl2Rq;Rosas;La Oreja de Van Gogh;2003
spotify:track:4QBrx05HrLnohYaS1cPGHO;Volvera;El Canto Del Loco;2005
spotify:track:0XJAzR3E4lq5aNGGDh8HUT;Con La Luna Llena;Melendi;2005
spotify:track:5OaqffbeQyVVqtnA71Ci7K;Por la Raja de Tu Falda;Estopa;1999
spotify:track:7cC1xYRITIkGKAGCSyqCAv;Son de Amores;Andy & Lucas;2003
spotify:track:3ri9fLG89OdSpjxheYxU7S;Me Muero;La Quinta Estacion;2006
spotify:track:1uFW6czrHk5PsK3s6gOI7C;Se Fue;Rauw Alejandro;2024
spotify:track:0quM3iWAOKw9OGIMBsppSC;SI ELLA SUPIERA;India Martinez;2022
spotify:track:6z98CyBiVapgBCecH98y4d;El Polvo de los Días Raros;Leiva;2025
spotify:track:1TtwCkFbGv89XmuUNmoINt;Puede Ser (with Amaia Montero);El Canto Del Loco;2002
spotify:track:4l7qXzZrZnr2RUgSVSKtnD;Carpe Diem;Dani Martín;2024
spotify:track:5xKUXB7fsIEpDYc6mBfSwT;Hoy no me siento bien;Alejandro Sanz;2024
spotify:track:6XY4Zaf0AoE5movPc2FfaZ;La Salvación;Arde Bogotá;2024
spotify:track:5zyxGztIuOp27VhkVf1hMZ;Dolce Vita;Amaral;2025
spotify:track:51VLqRIxEjfT6guWSxEElY;Pop;Vicco;2023
spotify:track:7bM39j41perIVseatvugg3;PLAN DE HOY [QUIERO VERTE];Abraham Mateo;2025
spotify:track:27AycGPhBPGCc6YnTZTaSh;HOY TENGO GANAS DE TI;Abraham Mateo;2024
spotify:track:5sKdpvvNyRJifUmYLNiYys;Viento de Cara;Supersubmarina;2014
spotify:track:3CmSv76KDKsvtiyrdgHZHH;La Razón;Ana Mena;2024
spotify:track:4bPxqFfAt9EaFqdIDTxczw;Me Acuerdo De Ti;Abraham Mateo;2024
spotify:track:6o8AfVju660AZb5XL5rzzP;Futuros amantes;Guitarricadelafuente;2025
spotify:track:3MTzCXM4r6yTOLhiuIaRfh;Bailarina;Abraham Mateo;2024
spotify:track:1RG4xMoRobbuqGYHaF4nRp;Tormenta Perfecta;Amaia Montero;2014
spotify:track:7CsOowK8aWlxgjuZLW7pXA;EL PANTALON - RUMBAS;Omar Montes;2024
