Track URI;Track;Artist;Release Year
spotify:track:7aOFPde65u12EJmh1dr7uL;La Gata Bajo la Lluvia;Rocío Dúrcal;1992
spotify:track:0XPt3eOkEIzhDCyFhfRaUh;Me Olvidé De Vivir;Julio Iglesias;
spotify:track:1uaJUd68rBoPYNvafL8ymh;Rufino;Luz Casal;
spotify:track:5zAnoLd8d4ssifVCnSDrwG;Corazón de neón;Orquesta Mondragon;
spotify:track:0CqSDMvzIOxdJRbCwwCIkM;Eres;Massiel;
spotify:track:4wMGxH3cJ8oDr6lG3bBrGL;Gloria;Umberto Tozzi;
;Tú;Umberto Tozzi;
;Amante Bandido;Miguel Bosé;
;¿Por qué te vas?;Janette;
;Una calle de París;Duncan Dhu;
;El calor del amor en un bar;Gabinete Caligari;
;Embrujada;Tino Casal;
;Eloise;Tino Casal;
;Ni tú ni nadie;Alaska y Dinarama;
;Aquí no hay playa;The Refrescos;
;Rock and Roll Star;Loquillo;
;Hormigón, mujeres y alcohol;Ramoncin;
;;;
Los 80 y 90;Pájaros de Barro;Manolo García;
;Perdóname;Camilo Sesto;
;;;
spotify:track:6mpJrtlX03lQd5UdsdjXOz;Yo no soy esa;Mari Trini;
spotify:track:1aZc9YBrZpKCE1YqSMV5Vg;La chica de ayer;Nacho Pop;
spotify:track:5i07tC6hV5AtYTr0tsP0Uy;Cien Gaviotas;Duncan Dhu;
spotify:track:38EKqFChMuL8oGCj1YnBRa;Solo Le Pido a Dios - En Directo;Antonio Flores;1994
spotify:track:5IU4JO2cpa0wPK8oQWFfCr;Un Beso Y Una Flor;Nino Bravo;1976
spotify:track:3MLnZadhoFpkGWibabX98d;Acordes;Pecos;1979
spotify:track:43wyXbukLasmkQGkquqMHs;Gavilán o Paloma;Pablo Abraira;1977
spotify:track:1ZxWjK1wqkHEwYBt9ayplF;Si Tu Fueras Mi Mujer;Lorenzo Santamaría;1998
spotify:track:7tVEeTbzEJkHP0EqUu6rmf;Mamma Maria;Ricchi E Poveri;1998
spotify:track:2S7RApTsKT0CtYojYq2cKz;L'italiano;Toto Cutugno;1983
spotify:track:5Wrs4ChK5nx9g4fTGNpDIf;Yo no Te Pido la Luna;Fiordaliso;1997
spotify:track:09PGyODYYlVsL49N7TR914;Pedro Navaja;Rubén Blades;1989
spotify:track:0lFMpSl7fU4FU1ZfVWY7He;Cuando Brille el Sol;La Guardia;1999
spotify:track:4bavcis6bApsKI8YkKg3Cx;20 de abril - En directo 1997;Celtas Cortos;1997
