Numero;Titulo;Artista;Año;Enlace;Enlace clean;Enlace ok
1;La Gata Bajo la Lluvia;Rocío Dúrcal;1981;spotify:track:7aOFPde65u12EJmh1dr7uL;7aOFPde65u12EJmh1dr7uL;https://open.spotify.com/intl-es/track/7aOFPde65u12EJmh1dr7uL
2;Me Olvidé De Vivir;Julio Iglesias;1978;spotify:track:0XPt3eOkEIzhDCyFhfRaUh;0XPt3eOkEIzhDCyFhfRaUh;https://open.spotify.com/intl-es/track/0XPt3eOkEIzhDCyFhfRaUh
3;Rufino;Luz Casal;1985;spotify:track:1uaJUd68rBoPYNvafL8ymh;1uaJUd68rBoPYNvafL8ymh;https://open.spotify.com/intl-es/track/1uaJUd68rBoPYNvafL8ymh
4;Corazón de neón;Orquesta Mondragon;1987;spotify:track:5zAnoLd8d4ssifVCnSDrwG;5zAnoLd8d4ssifVCnSDrwG;https://open.spotify.com/intl-es/track/5zAnoLd8d4ssifVCnSDrwG
5;Eres;Massiel;1981;spotify:track:0CqSDMvzIOxdJRbCwwCIkM;0CqSDMvzIOxdJRbCwwCIkM;https://open.spotify.com/intl-es/track/0CqSDMvzIOxdJRbCwwCIkM
6;Gloria;Umberto Tozzi;1979;spotify:track:4wMGxH3cJ8oDr6lG3bBrGL;4wMGxH3cJ8oDr6lG3bBrGL;https://open.spotify.com/intl-es/track/4wMGxH3cJ8oDr6lG3bBrGL
7;Tú;Umberto Tozzi;1978;spotify:track:6Gbc24EJdvZgpY0b5pNxhA;6Gbc24EJdvZgpY0b5pNxhA;https://open.spotify.com/intl-es/track/6Gbc24EJdvZgpY0b5pNxhA
8;¿Por qué te vas?;Janette;1974;spotify:track:11rsK9GDZ9UdWsxtDqnMmN;11rsK9GDZ9UdWsxtDqnMmN;https://open.spotify.com/intl-es/track/11rsK9GDZ9UdWsxtDqnMmN
9;Una calle de París;Duncan Dhu;1987;spotify:track:1nLOdVT581H7SA0ttCZRF9;1nLOdVT581H7SA0ttCZRF9;https://open.spotify.com/intl-es/track/1nLOdVT581H7SA0ttCZRF9
10;El calor del amor en un bar;Gabinete Caligari;1986;spotify:track:0AFJOoRQFlo10Vm1p6BRjg;0AFJOoRQFlo10Vm1p6BRjg;https://open.spotify.com/intl-es/track/0AFJOoRQFlo10Vm1p6BRjg
11;Embrujada;Tino Casal;1983;spotify:track:6udZus2RwDVhD3zateRfFy;6udZus2RwDVhD3zateRfFy;https://open.spotify.com/intl-es/track/6udZus2RwDVhD3zateRfFy
12;Eloise;Tino Casal;1987;spotify:track:16k0xwujtU1eoSLEfofWQ8;16k0xwujtU1eoSLEfofWQ8;https://open.spotify.com/intl-es/track/16k0xwujtU1eoSLEfofWQ8
13;Ni tú ni nadie;Alaska y Dinarama;1984;spotify:track:7LpS82vPDLgZAHWRtWBBRj;7LpS82vPDLgZAHWRtWBBRj;https://open.spotify.com/intl-es/track/7LpS82vPDLgZAHWRtWBBRj
14;Aquí no hay playa;The Refrescos;1989;spotify:track:4PRJD9T23GQKQYKhJQcGGY;4PRJD9T23GQKQYKhJQcGGY;https://open.spotify.com/intl-es/track/4PRJD9T23GQKQYKhJQcGGY
15;Rock and Roll Star;Loquillo;1981;spotify:track:2MPWdzsLs7owJCpNS1Eq8Y;2MPWdzsLs7owJCpNS1Eq8Y;https://open.spotify.com/intl-es/track/2MPWdzsLs7owJCpNS1Eq8Y
16;Hormigón, mujeres y alcohol;Ramoncin;1981;spotify:track:2kdcgSLw6FzxdL0gkhAT16;2kdcgSLw6FzxdL0gkhAT16;https://open.spotify.com/intl-es/track/2kdcgSLw6FzxdL0gkhAT16
17;Yo no soy esa;Mari Trini;1971;spotify:track:6mpJrtlX03lQd5UdsdjXOz;6mpJrtlX03lQd5UdsdjXOz;https://open.spotify.com/intl-es/track/6mpJrtlX03lQd5UdsdjXOz
18;La chica de ayer;Nacho Pop;1980;spotify:track:1aZc9YBrZpKCE1YqSMV5Vg;1aZc9YBrZpKCE1YqSMV5Vg;https://open.spotify.com/intl-es/track/1aZc9YBrZpKCE1YqSMV5Vg
19;Cien Gaviotas;Duncan Dhu;1986;spotify:track:5i07tC6hV5AtYTr0tsP0Uy;5i07tC6hV5AtYTr0tsP0Uy;https://open.spotify.com/intl-es/track/5i07tC6hV5AtYTr0tsP0Uy
20;Solo Le Pido a Dios - En Directo;Antonio Flores;1994;spotify:track:38EKqFChMuL8oGCj1YnBRa;38EKqFChMuL8oGCj1YnBRa;https://open.spotify.com/intl-es/track/38EKqFChMuL8oGCj1YnBRa
21;Un Beso Y Una Flor;Nino Bravo;1972;spotify:track:5IU4JO2cpa0wPK8oQWFfCr;5IU4JO2cpa0wPK8oQWFfCr;https://open.spotify.com/intl-es/track/5IU4JO2cpa0wPK8oQWFfCr
22;Acordes;Pecos;1979;spotify:track:3MLnZadhoFpkGWibabX98d;3MLnZadhoFpkGWibabX98d;https://open.spotify.com/intl-es/track/3MLnZadhoFpkGWibabX98d
